Wavelength (nm),Sum,Ca I (1.7e-02),Ca II (8.9e-01),Ca III (9.1e-02)
326.21,9.810e-1,9.810e-1,,
326.26,3.103e+0,3.103e+0,,
326.31,9.370e+0,9.370e+0,,
326.36,2.700e+1,2.700e+1,,
326.41,7.427e+1,7.427e+1,,
326.46,1.950e+2,1.950e+2,,
326.51,4.886e+2,4.886e+2,,
326.56,1.168e+3,1.168e+3,,
326.61,2.667e+3,2.667e+3,,
326.66,5.810e+3,5.810e+3,,
326.71,1.208e+4,1.208e+4,,
326.76,2.398e+4,2.398e+4,,
326.81,4.541e+4,4.541e+4,,
326.86,8.210e+4,8.210e+4,,
326.91,1.417e+5,1.417e+5,,
326.96,2.333e+5,2.333e+5,,
327.01,3.668e+5,3.668e+5,,
327.06,5.502e+5,5.502e+5,,
327.11,7.879e+5,7.879e+5,,
327.16,1.077e+6,1.077e+6,,
327.21,1.405e+6,1.405e+6,,
327.26,1.749e+6,1.749e+6,,
327.31,2.078e+6,2.078e+6,,
327.36,2.357e+6,2.357e+6,,
327.41,2.551e+6,2.551e+6,,
327.46,2.636e+6,2.636e+6,,
327.51,2.599e+6,2.599e+6,,
327.56,2.447e+6,2.447e+6,,
327.61,2.198e+6,2.198e+6,,
327.66,1.885e+6,1.885e+6,,
327.71,1.545e+6,1.545e+6,,
327.76,1.210e+6,1.210e+6,,
327.81,9.101e+5,9.101e+5,,
327.86,6.641e+5,6.641e+5,,
327.91,4.833e+5,4.833e+5,,
327.96,3.737e+5,3.737e+5,,
328.01,3.390e+5,3.390e+5,,
328.06,3.838e+5,3.838e+5,,
328.11,5.150e+5,5.150e+5,,
328.16,7.408e+5,7.408e+5,,
328.21,1.068e+6,1.068e+6,,
328.26,1.497e+6,1.497e+6,,
328.31,2.015e+6,2.015e+6,,
328.36,2.597e+6,2.597e+6,,
328.41,3.197e+6,3.197e+6,,
328.46,3.759e+6,3.759e+6,,
328.51,4.220e+6,4.220e+6,,
328.56,4.523e+6,4.523e+6,,
328.61,4.629e+6,4.629e+6,,
328.66,4.523e+6,4.523e+6,,
328.71,4.220e+6,4.220e+6,,
328.76,3.758e+6,3.758e+6,,
328.81,3.196e+6,3.196e+6,,
328.86,2.595e+6,2.595e+6,,
328.91,2.011e+6,2.011e+6,,
328.96,1.489e+6,1.489e+6,,
329.01,1.052e+6,1.052e+6,,
329.06,7.097e+5,7.097e+5,,
329.11,4.571e+5,4.571e+5,,
329.16,2.811e+5,2.811e+5,,
329.21,1.650e+5,1.650e+5,,
329.26,9.252e+4,9.252e+4,,
329.31,4.952e+4,4.952e+4,,
329.36,2.530e+4,2.530e+4,,
329.41,1.234e+4,1.234e+4,,
329.46,5.750e+3,5.750e+3,,
329.51,2.557e+3,2.557e+3,,
329.56,1.086e+3,1.086e+3,,
329.61,4.401e+2,4.401e+2,,
329.66,1.703e+2,1.703e+2,,
329.71,6.295e+1,6.295e+1,,
329.76,2.221e+1,2.221e+1,,
329.81,7.481e+0,7.481e+0,,
329.86,2.406e+0,2.406e+0,,
329.91,7.387e-1,7.387e-1,,
329.96,2.166e-1,2.166e-1,,
330.01,6.061e-2,6.061e-2,,
330.06,1.620e-2,1.620e-2,,
330.11,4.132e-3,4.132e-3,,
330.16,1.007e-3,1.007e-3,,
330.21,2.341e-4,2.341e-4,,
