Wavelength (nm),Sum,Ca I (2.6e-03),Ca II (3.6e-01),Ca III (6.4e-01)
205.07,5.374e-2,,,5.374e-2
205.12,2.033e-2,,,2.033e-2
205.17,6.884e-3,,,6.884e-3
205.22,2.085e-3,,,2.085e-3
205.27,5.641e-4,,,5.641e-4
205.32,1.362e-4,,,1.362e-4
205.37,2.934e-5,,,2.934e-5
205.42,5.738e-6,,,5.738e-6
205.47,1.657e-6,,,1.657e-6
205.52,3.971e-6,,,3.971e-6
205.57,1.873e-5,,,1.873e-5
205.62,8.134e-5,,,8.134e-5
205.67,3.144e-4,,,3.144e-4
205.72,1.081e-3,,,1.081e-3
205.77,3.302e-3,,,3.302e-3
205.82,8.971e-3,,,8.971e-3
205.87,2.167e-2,,,2.167e-2
205.92,4.653e-2,,,4.653e-2
205.97,8.884e-2,,,8.884e-2
206.02,1.508e-1,,,1.508e-1
206.07,2.276e-1,,,2.276e-1
206.12,3.053e-1,,,3.053e-1
206.17,3.642e-1,,,3.642e-1
206.22,3.863e-1,,,3.863e-1
206.27,3.642e-1,,,3.642e-1
206.32,3.053e-1,,,3.053e-1
206.37,2.276e-1,,,2.276e-1
206.42,1.508e-1,,,1.508e-1
206.47,8.884e-2,,,8.884e-2
206.52,4.653e-2,,,4.653e-2
206.57,2.167e-2,,,2.167e-2
206.62,8.971e-3,,,8.971e-3
206.67,3.302e-3,,,3.302e-3
206.72,1.082e-3,,,1.082e-3
206.77,3.198e-4,,,3.198e-4
206.82,1.078e-4,,,1.078e-4
206.87,1.344e-4,,,1.344e-4
206.92,4.540e-4,,,4.540e-4
206.97,1.561e-3,,,1.561e-3
207.02,4.813e-3,,,4.813e-3
207.07,1.322e-2,,,1.322e-2
207.12,3.234e-2,,,3.234e-2
207.17,7.043e-2,,,7.043e-2
207.22,1.366e-1,,,1.366e-1
207.27,2.362e-1,,,2.362e-1
207.32,3.643e-1,,,3.643e-1
207.37,5.031e-1,,,5.031e-1
207.42,6.277e-1,,,6.277e-1
207.47,7.222e-1,,,7.222e-1
207.52,8.005e-1,,,8.005e-1
207.57,9.172e-1,,,9.172e-1
207.62,1.155e+0,,,1.155e+0
207.67,1.587e+0,,,1.587e+0
207.72,2.218e+0,,,2.218e+0
207.77,2.955e+0,,,2.955e+0
207.82,3.610e+0,,,3.610e+0
207.87,3.976e+0,,,3.976e+0
207.92,3.918e+0,,,3.918e+0
207.97,3.446e+0,,,3.446e+0
208.02,2.702e+0,,,2.702e+0
208.07,1.887e+0,,,1.887e+0
208.12,1.174e+0,,,1.174e+0
208.17,6.509e-1,,,6.509e-1
208.22,3.214e-1,,,3.214e-1
208.27,1.413e-1,,,1.413e-1
208.32,5.537e-2,,,5.537e-2
208.37,1.932e-2,,,1.932e-2
208.42,6.007e-3,,,6.007e-3
208.47,1.663e-3,,,1.663e-3
208.52,4.102e-4,,,4.102e-4
208.57,9.011e-5,,,9.011e-5
208.62,1.763e-5,,,1.763e-5
208.67,3.074e-6,,,3.074e-6
208.72,4.772e-7,,,4.772e-7
208.77,6.601e-8,,,6.601e-8
208.82,8.232e-9,,,8.232e-9
208.87,1.886e-9,,,1.886e-9
208.92,8.777e-9,,,8.777e-9
208.97,6.785e-8,,,6.785e-8
209.02,4.728e-7,,,4.728e-7
209.07,4.167e-6,,1.225e-6,2.942e-6
209.12,3.587e-5,,1.953e-5,1.634e-5
209.17,3.592e-4,,2.782e-4,8.100e-5
209.22,3.897e-3,,3.539e-3,3.585e-4
209.27,4.162e-2,,4.020e-2,1.416e-3
209.32,4.129e-1,,4.079e-1,4.994e-3
209.37,3.712e+0,,3.696e+0,1.572e-2
209.42,2.996e+1,,2.992e+1,4.418e-2
209.47,2.164e+2,,2.162e+2,1.108e-1
209.52,1.396e+3,,1.396e+3,2.482e-1
209.57,8.050e+3,,8.050e+3,4.960e-1
209.62,4.145e+4,,4.145e+4,8.851e-1
209.67,1.907e+5,,1.907e+5,1.410e+0
209.72,7.832e+5,,7.832e+5,2.005e+0
209.77,2.873e+6,,2.873e+6,2.544e+0
209.82,9.415e+6,,9.415e+6,2.883e+0
209.87,2.755e+7,,2.755e+7,2.916e+0
209.92,7.201e+7,,7.201e+7,2.633e+0
209.97,1.681e+8,,1.681e+8,2.122e+0
210.02,3.505e+8,,3.505e+8,1.526e+0
210.07,6.526e+8,,6.526e+8,9.804e-1
210.12,1.085e+9,,1.085e+9,5.621e-1
210.17,1.612e+9,,1.612e+9,2.880e-1
210.22,2.138e+9,,2.138e+9,1.326e-1
210.27,2.533e+9,,2.533e+9,5.702e-2
210.32,2.681e+9,,2.681e+9,2.825e-2
210.37,2.533e+9,,2.533e+9,2.624e-2
210.42,2.138e+9,,2.138e+9,4.229e-2
210.47,1.612e+9,,1.612e+9,7.395e-2
210.52,1.085e+9,,1.085e+9,1.194e-1
210.57,6.526e+8,,6.526e+8,1.729e-1
210.62,3.507e+8,,3.507e+8,2.241e-1
210.67,1.693e+8,,1.693e+8,2.594e-1
210.72,7.641e+7,,7.641e+7,2.684e-1
210.77,4.219e+7,,4.219e+7,2.486e-1
210.82,5.295e+7,,5.295e+7,2.077e-1
210.87,1.187e+8,,1.187e+8,1.622e-1
210.92,2.762e+8,,2.762e+8,1.371e-1
210.97,5.861e+8,,5.861e+8,1.723e-1
211.02,1.115e+9,,1.115e+9,3.384e-1
211.07,1.896e+9,,1.896e+9,7.585e-1
211.12,2.885e+9,,2.885e+9,1.616e+0
211.17,3.925e+9,,3.925e+9,3.116e+0
211.22,4.777e+9,,4.777e+9,5.386e+0
211.27,5.199e+9,,5.199e+9,8.331e+0
211.32,5.061e+9,,5.061e+9,1.152e+1
211.37,4.406e+9,,4.406e+9,1.425e+1
211.42,3.431e+9,,3.431e+9,1.576e+1
211.47,2.390e+9,,2.390e+9,1.558e+1
211.52,1.489e+9,,1.489e+9,1.378e+1
211.57,8.297e+8,,8.297e+8,1.090e+1
211.62,4.136e+8,,4.136e+8,7.704e+0
211.67,1.845e+8,,1.845e+8,4.874e+0
211.72,7.358e+7,,7.358e+7,2.767e+0
211.77,2.626e+7,,2.626e+7,1.441e+0
211.82,8.384e+6,,8.384e+6,7.790e-1
211.87,2.395e+6,,2.395e+6,6.657e-1
211.92,6.119e+5,,6.119e+5,1.103e+0
211.97,1.399e+5,,1.399e+5,2.251e+0
212.02,2.863e+4,,2.862e+4,4.379e+0
212.07,5.247e+3,,5.239e+3,7.698e+0
212.12,8.702e+2,,8.580e+2,1.213e+1
212.17,1.429e+2,,1.258e+2,1.711e+1
212.22,3.808e+1,,1.649e+1,2.159e+1
212.27,2.633e+1,,1.935e+0,2.440e+1
212.32,2.487e+1,,2.033e-1,2.467e+1
212.37,2.235e+1,,1.910e-2,2.233e+1
212.42,1.811e+1,,1.607e-3,1.811e+1
212.47,1.319e+1,,1.210e-4,1.319e+1
212.52,8.720e+0,,8.150e-6,8.720e+0
212.57,5.431e+0,,4.914e-7,5.431e+0
212.62,3.577e+0,,,3.577e+0
212.67,3.048e+0,,,3.048e+0
212.72,3.543e+0,,,3.543e+0
212.77,4.667e+0,,,4.667e+0
212.82,5.969e+0,,,5.969e+0
212.87,7.000e+0,,,7.000e+0
212.92,7.415e+0,,,7.415e+0
212.97,7.103e+0,,,7.103e+0
213.02,6.237e+0,,,6.237e+0
213.07,5.210e+0,,,5.210e+0
213.12,4.471e+0,,,4.471e+0
213.17,4.349e+0,,,4.349e+0
213.22,4.924e+0,,,4.924e+0
213.27,5.994e+0,,,5.994e+0
213.32,7.143e+0,,,7.143e+0
213.37,7.901e+0,,,7.901e+0
213.42,7.934e+0,,,7.934e+0
213.47,7.177e+0,,,7.177e+0
213.52,5.844e+0,,,5.844e+0
213.57,4.318e+0,,,4.318e+0
213.62,2.995e+0,,,2.995e+0
213.67,2.179e+0,,,2.179e+0
213.72,2.055e+0,,,2.055e+0
213.77,2.705e+0,1.664e-10,,2.705e+0
213.82,4.110e+0,2.676e-9,,4.110e+0
213.87,6.100e+0,3.864e-8,,6.100e+0
213.92,8.309e+0,5.006e-7,,8.309e+0
213.97,1.021e+1,5.822e-6,,1.021e+1
214.02,1.127e+1,6.078e-5,,1.127e+1
214.07,1.117e+1,5.694e-4,,1.116e+1
214.12,9.945e+0,4.788e-3,,9.940e+0
214.17,8.003e+0,3.614e-2,,7.967e+0
214.22,6.017e+0,2.448e-1,,5.772e+0
214.27,5.299e+0,1.489e+0,,3.810e+0
214.32,1.045e+1,8.123e+0,,2.326e+0
214.37,4.113e+1,3.979e+1,,1.345e+0
214.42,1.757e+2,1.749e+2,,7.621e-1
214.47,6.907e+2,6.903e+2,,4.357e-1
214.52,2.445e+3,2.445e+3,,2.536e-1
214.57,7.772e+3,7.772e+3,,1.479e-1
214.62,2.217e+4,2.217e+4,,8.542e-2
214.67,5.678e+4,5.678e+4,,5.411e-2
214.72,1.305e+5,1.305e+5,,5.611e-2
214.77,2.693e+5,2.693e+5,,1.118e-1
214.82,4.986e+5,4.986e+5,,2.720e-1
214.87,8.287e+5,8.287e+5,,6.310e-1
214.92,1.236e+6,1.236e+6,,1.326e+0
214.97,1.655e+6,1.655e+6,,2.507e+0
215.02,1.989e+6,1.989e+6,,4.253e+0
215.07,2.145e+6,2.145e+6,,6.479e+0
215.12,2.077e+6,2.077e+6,,8.860e+0
215.17,1.805e+6,1.805e+6,,1.088e+1
215.22,1.407e+6,1.407e+6,,1.199e+1
215.27,9.851e+5,9.851e+5,,1.186e+1
215.32,6.189e+5,6.189e+5,,1.053e+1
215.37,3.490e+5,3.490e+5,,8.395e+0
215.42,1.767e+5,1.767e+5,,6.008e+0
215.47,8.025e+4,8.025e+4,,3.860e+0
215.52,3.272e+4,3.272e+4,,2.226e+0
215.57,1.198e+4,1.198e+4,,1.152e+0
215.62,3.934e+3,3.934e+3,,5.356e-1
215.67,1.160e+3,1.160e+3,,2.235e-1
215.72,3.070e+2,3.069e+2,,8.395e-2
215.77,7.291e+1,7.289e+1,,2.907e-2
215.82,1.555e+1,1.554e+1,,1.150e-2
215.87,2.984e+0,2.973e+0,,1.095e-2
215.92,5.335e-1,5.105e-1,,2.295e-2
215.97,1.309e-1,7.869e-2,,5.219e-2
216.02,1.197e-1,1.089e-2,,1.088e-1
216.07,2.057e-1,1.352e-3,,2.044e-1
216.12,3.451e-1,1.507e-4,,3.450e-1
216.17,5.233e-1,1.507e-5,,5.233e-1
216.22,7.133e-1,1.353e-6,,7.133e-1
216.27,8.738e-1,1.091e-7,,8.738e-1
216.32,9.620e-1,7.888e-9,,9.620e-1
216.37,9.518e-1,5.121e-10,,9.518e-1
216.42,8.463e-1,,,8.463e-1
216.47,6.765e-1,,,6.765e-1
216.52,4.867e-1,,,4.867e-1
216.57,3.174e-1,,,3.174e-1
216.62,1.952e-1,,,1.952e-1
216.67,1.345e-1,,,1.345e-1
216.72,1.502e-1,,,1.502e-1
216.77,2.718e-1,,,2.718e-1
216.82,5.519e-1,,,5.519e-1
216.87,1.058e+0,,,1.058e+0
216.92,1.840e+0,,,1.840e+0
216.97,2.883e+0,,,2.883e+0
217.02,4.067e+0,,,4.067e+0
217.07,5.162e+0,,,5.162e+0
217.12,5.894e+0,,,5.894e+0
217.17,6.055e+0,,,6.055e+0
217.22,5.596e+0,,,5.596e+0
217.27,4.654e+0,,,4.654e+0
217.32,3.486e+0,,,3.486e+0
217.37,2.359e+0,,,2.359e+0
217.42,1.465e+0,,,1.465e+0
217.47,8.849e-1,,,8.849e-1
217.52,6.221e-1,,,6.221e-1
217.57,6.407e-1,,,6.407e-1
217.62,8.950e-1,,,8.950e-1
217.67,1.329e+0,,,1.329e+0
217.72,1.859e+0,,,1.859e+0
217.77,2.372e+0,,,2.372e+0
217.82,2.741e+0,,,2.741e+0
217.87,2.878e+0,,,2.878e+0
217.92,2.766e+0,,,2.766e+0
217.97,2.472e+0,,,2.472e+0
218.02,2.104e+0,,,2.104e+0
218.07,1.764e+0,,,1.764e+0
218.12,1.498e+0,,,1.498e+0
218.17,1.296e+0,,,1.296e+0
218.22,1.120e+0,,,1.120e+0
218.27,9.343e-1,,,9.343e-1
218.32,7.315e-1,,,7.315e-1
218.37,5.273e-1,,,5.273e-1
218.42,3.461e-1,,,3.461e-1
218.47,2.058e-1,,2.097e-7,2.058e-1
218.52,1.106e-1,,2.999e-6,1.106e-1
218.57,5.405e-2,,3.867e-5,5.402e-2
218.62,2.549e-2,,4.496e-4,2.504e-2
218.67,1.857e-2,,4.713e-3,1.386e-2
218.72,5.920e-2,,4.455e-2,1.465e-2
218.77,4.056e-1,3.991e-9,3.797e-1,2.597e-2
218.82,2.967e+0,5.551e-8,2.918e+0,4.937e-2
218.87,2.030e+1,6.964e-7,2.022e+1,8.709e-2
218.92,1.264e+2,7.880e-6,1.263e+2,1.391e-1
218.97,7.117e+2,8.041e-5,7.115e+2,2.002e-1
219.02,3.614e+3,7.401e-4,3.614e+3,2.597e-1
219.07,1.655e+4,6.143e-3,1.655e+4,3.036e-1
219.12,6.835e+4,4.599e-2,6.835e+4,3.198e-1
219.17,2.545e+5,3.106e-1,2.545e+5,3.036e-1
219.22,8.543e+5,1.891e+0,8.543e+5,2.597e-1
219.27,2.586e+6,1.039e+1,2.586e+6,2.002e-1
219.32,7.059e+6,5.147e+1,7.059e+6,1.390e-1
219.37,1.737e+7,2.299e+2,1.737e+7,8.702e-2
219.42,3.855e+7,9.266e+2,3.855e+7,4.908e-2
219.47,7.713e+7,3.368e+3,7.712e+7,2.494e-2
219.52,1.391e+8,1.104e+4,1.391e+8,1.144e-2
219.57,2.264e+8,3.264e+4,2.263e+8,4.773e-3
219.62,3.320e+8,8.703e+4,3.319e+8,1.980e-3
219.67,4.392e+8,2.093e+5,4.390e+8,1.366e-3
219.72,5.239e+8,4.540e+5,5.234e+8,2.580e-3
219.77,5.637e+8,8.881e+5,5.628e+8,6.747e-3
219.82,5.471e+8,1.567e+6,5.456e+8,1.690e-2
219.87,4.794e+8,2.494e+6,4.769e+8,3.854e-2
219.92,3.794e+8,3.579e+6,3.758e+8,7.971e-2
219.97,2.717e+8,4.633e+6,2.671e+8,1.498e-1
220.02,1.765e+8,5.409e+6,1.711e+8,2.563e-1
220.07,1.046e+8,5.695e+6,9.888e+7,4.012e-1
220.12,5.693e+7,5.409e+6,5.152e+7,5.770e-1
220.17,2.889e+7,4.633e+6,2.426e+7,7.666e-1
220.22,1.408e+7,3.579e+6,1.050e+7,9.461e-1
220.27,7.295e+6,2.494e+6,4.801e+6,1.090e+0
220.32,5.744e+6,1.567e+6,4.177e+6,1.176e+0
220.37,9.441e+6,8.881e+5,8.553e+6,1.189e+0
220.42,2.167e+7,4.540e+5,2.122e+7,1.124e+0
220.47,4.965e+7,2.093e+5,4.944e+7,9.889e-1
220.52,1.045e+8,8.703e+4,1.044e+8,8.053e-1
220.57,1.992e+8,3.264e+4,1.992e+8,6.037e-1
220.62,3.429e+8,1.104e+4,3.429e+8,4.146e-1
220.67,5.328e+8,3.368e+3,5.328e+8,2.597e-1
220.72,7.473e+8,9.266e+2,7.473e+8,1.479e-1
220.77,9.460e+8,2.299e+2,9.460e+8,7.642e-2
220.82,1.081e+9,5.147e+1,1.081e+9,3.576e-2
220.87,1.115e+9,1.039e+1,1.115e+9,1.514e-2
220.92,1.037e+9,1.891e+0,1.037e+9,5.792e-3
220.97,8.715e+8,3.106e-1,8.715e+8,2.002e-3
221.02,6.608e+8,4.599e-2,6.608e+8,6.247e-4
221.07,4.522e+8,6.143e-3,4.522e+8,1.760e-4
221.12,2.793e+8,7.401e-4,2.793e+8,4.481e-5
221.17,1.557e+8,8.041e-5,1.557e+8,1.061e-5
221.22,7.837e+7,7.880e-6,7.837e+7,3.835e-6
221.27,3.559e+7,6.964e-7,3.559e+7,8.147e-6
221.32,1.459e+7,5.551e-8,1.459e+7,3.182e-5
221.37,5.399e+6,3.991e-9,5.399e+6,1.176e-4
221.42,1.803e+6,2.588e-10,1.803e+6,3.932e-4
221.47,5.434e+5,,5.434e+5,1.188e-3
221.52,1.478e+5,,1.478e+5,3.245e-3
221.57,3.630e+4,,3.630e+4,8.006e-3
221.62,8.045e+3,,8.045e+3,1.785e-2
221.67,1.609e+3,,1.609e+3,3.594e-2
221.72,2.906e+2,,2.905e+2,6.540e-2
221.77,4.745e+1,,4.734e+1,1.075e-1
221.82,7.123e+0,,6.963e+0,1.597e-1
221.87,1.139e+0,,9.244e-1,2.144e-1
221.92,3.707e-1,,1.108e-1,2.599e-1
221.97,2.968e-1,,1.198e-2,2.848e-1
222.02,2.831e-1,,1.169e-3,2.819e-1
222.07,2.523e-1,,1.030e-4,2.521e-1
222.12,2.038e-1,,8.190e-6,2.038e-1
222.17,1.488e-1,,5.878e-7,1.488e-1
222.22,9.814e-2,,,9.814e-2
222.27,5.849e-2,,,5.849e-2
222.32,3.150e-2,,,3.150e-2
222.37,1.533e-2,,,1.533e-2
222.42,6.737e-3,,,6.737e-3
222.47,2.676e-3,,,2.676e-3
222.52,9.603e-4,,,9.603e-4
222.57,3.114e-4,,,3.114e-4
222.62,9.122e-5,,,9.122e-5
222.67,2.414e-5,,,2.414e-5
222.72,5.774e-6,,,5.774e-6
222.77,1.248e-6,,,1.248e-6
222.82,2.436e-7,,,2.436e-7
222.87,4.296e-8,,,4.296e-8
222.92,6.847e-9,,,6.847e-9
222.97,9.858e-10,,,9.858e-10
223.02,1.283e-10,,,1.283e-10
223.07,1.508e-11,,,1.508e-11
223.12,1.601e-12,,,1.601e-12
223.17,1.536e-13,,,1.536e-13
223.22,1.332e-14,,,1.332e-14
223.27,1.043e-15,,,1.043e-15
223.32,7.384e-17,,,7.384e-17
226.17,1.284e-9,1.284e-9,,
226.22,1.758e-8,1.758e-8,,
226.27,2.186e-7,2.186e-7,,3.286e-16
226.32,2.468e-6,2.468e-6,,4.490e-15
226.37,2.530e-5,2.530e-5,,5.569e-14
226.42,2.354e-4,2.354e-4,,6.273e-13
226.47,1.989e-3,1.989e-3,,6.416e-12
226.52,1.526e-2,1.526e-2,,5.959e-11
226.57,1.063e-1,1.063e-1,,5.025e-10
226.62,6.724e-1,6.724e-1,,3.848e-9
226.67,3.861e+0,3.861e+0,,2.676e-8
226.72,2.013e+1,2.013e+1,,1.689e-7
226.77,9.530e+1,9.530e+1,,9.685e-7
226.82,4.096e+2,4.096e+2,,5.042e-6
226.87,1.598e+3,1.598e+3,,2.383e-5
226.92,5.663e+3,5.663e+3,,1.023e-4
226.97,1.822e+4,1.822e+4,,3.987e-4
227.02,5.322e+4,5.322e+4,,1.411e-3
227.07,1.411e+5,1.411e+5,,4.535e-3
227.12,3.398e+5,3.398e+5,,1.323e-2
227.17,7.430e+5,7.430e+5,,3.506e-2
227.22,1.475e+6,1.475e+6,,8.436e-2
227.27,2.658e+6,2.658e+6,,1.843e-1
227.32,4.350e+6,4.350e+6,,3.656e-1
227.37,6.463e+6,6.463e+6,,6.586e-1
227.42,8.718e+6,8.718e+6,,1.077e+0
227.47,1.068e+7,1.068e+7,,1.600e+0
227.52,1.187e+7,1.187e+7,,2.158e+0
227.57,1.199e+7,1.199e+7,,2.642e+0
227.62,1.099e+7,1.099e+7,,2.938e+0
227.67,9.149e+6,9.149e+6,,2.966e+0
227.72,6.915e+6,6.915e+6,,2.720e+0
227.77,4.745e+6,4.745e+6,,2.265e+0
227.82,2.956e+6,2.956e+6,,1.712e+0
227.87,1.672e+6,1.672e+6,,1.176e+0
227.92,8.588e+5,8.588e+5,,7.344e-1
227.97,4.005e+5,4.005e+5,,4.175e-1
228.02,1.696e+5,1.696e+5,,2.172e-1
228.07,6.518e+4,6.518e+4,,1.045e-1
228.12,2.275e+4,2.275e+4,,4.779e-2
228.17,7.210e+3,7.210e+3,,2.193e-2
228.22,2.075e+3,2.075e+3,,1.091e-2
228.27,5.420e+2,5.420e+2,,6.171e-3
228.32,1.286e+2,1.286e+2,,3.829e-3
228.37,2.769e+1,2.769e+1,,2.412e-3
228.42,5.415e+0,5.414e+0,,1.454e-3
228.47,9.620e-1,9.612e-1,,8.137e-4
228.52,1.554e-1,1.549e-1,,4.172e-4
228.57,2.287e-2,2.268e-2,,1.949e-4
228.62,3.096e-3,3.014e-3,,8.284e-5
228.67,3.956e-4,3.636e-4,,3.199e-5
228.72,5.106e-5,3.983e-5,,1.123e-5
228.77,7.541e-6,3.962e-6,,3.580e-6
228.82,1.395e-6,3.578e-7,,1.037e-6
228.87,3.021e-7,2.934e-8,,2.728e-7
228.92,6.761e-8,2.184e-9,,6.542e-8
228.97,1.539e-8,,,1.539e-8
229.02,8.779e-9,,,8.779e-9
229.07,2.697e-8,,,2.697e-8
229.12,1.065e-7,,,1.065e-7
229.17,3.892e-7,,,3.892e-7
229.22,1.295e-6,,,1.295e-6
229.27,3.919e-6,,,3.919e-6
229.32,1.079e-5,,,1.079e-5
229.37,2.703e-5,,,2.703e-5
229.42,6.158e-5,,,6.158e-5
229.47,1.276e-4,,,1.276e-4
229.52,2.407e-4,,,2.407e-4
229.57,4.128e-4,,,4.128e-4
229.62,6.440e-4,,,6.440e-4
229.67,9.141e-4,,,9.141e-4
229.72,1.180e-3,,,1.180e-3
229.77,1.386e-3,,,1.386e-3
229.82,1.481e-3,,,1.481e-3
229.87,1.440e-3,,,1.440e-3
229.92,1.273e-3,,,1.273e-3
229.97,1.024e-3,,,1.024e-3
230.02,7.494e-4,,,7.494e-4
230.07,4.988e-4,,,4.988e-4
230.12,3.021e-4,,,3.021e-4
230.17,1.666e-4,,,1.666e-4
230.22,8.444e-5,,,8.444e-5
230.27,4.358e-5,,,4.358e-5
230.32,4.248e-5,,,4.248e-5
230.37,1.242e-4,,,1.242e-4
230.42,4.854e-4,,,4.854e-4
230.47,1.827e-3,,,1.827e-3
230.52,6.370e-3,,,6.370e-3
230.57,2.050e-2,,,2.050e-2
230.62,6.081e-2,,,6.081e-2
230.67,1.660e-1,,,1.660e-1
230.72,4.167e-1,,,4.167e-1
230.77,9.598e-1,,,9.598e-1
230.82,2.027e+0,,,2.027e+0
230.87,3.921e+0,,,3.921e+0
230.92,6.939e+0,,,6.939e+0
230.97,1.122e+1,,,1.122e+1
231.02,1.659e+1,,,1.659e+1
231.07,2.238e+1,,,2.238e+1
231.12,2.754e+1,,,2.754e+1
231.17,3.092e+1,,,3.092e+1
231.22,3.166e+1,,,3.166e+1
231.27,2.954e+1,,,2.954e+1
231.32,2.513e+1,,,2.513e+1
231.37,1.948e+1,,,1.948e+1
231.42,1.376e+1,,,1.376e+1
231.47,8.850e+0,,,8.850e+0
231.52,5.188e+0,,,5.188e+0
231.58,2.416e+0,,,2.416e+0
231.63,1.153e+0,,,1.153e+0
231.68,5.014e-1,,,5.014e-1
231.73,1.987e-1,,,1.987e-1
231.78,7.203e-2,,,7.203e-2
231.83,2.430e-2,,,2.430e-2
231.88,8.334e-3,,,8.334e-3
231.93,3.901e-3,,,3.901e-3
231.98,3.269e-3,,,3.269e-3
232.03,3.746e-3,,,3.746e-3
232.08,4.428e-3,,,4.428e-3
232.13,4.991e-3,,,4.991e-3
232.18,5.305e-3,,,5.305e-3
232.23,5.327e-3,,,5.327e-3
232.28,5.061e-3,,,5.061e-3
232.33,4.549e-3,,,4.549e-3
232.38,3.857e-3,,,3.857e-3
232.43,3.070e-3,,,3.070e-3
232.48,2.281e-3,,,2.281e-3
232.53,1.574e-3,,,1.574e-3
232.58,1.004e-3,,,1.004e-3
232.63,5.895e-4,,,5.895e-4
232.68,3.178e-4,,,3.178e-4
232.73,1.570e-4,,,1.570e-4
232.78,7.097e-5,,,7.097e-5
232.83,2.959e-5,,,2.959e-5
232.88,1.213e-5,,,1.213e-5
232.93,7.150e-6,,,7.150e-6
232.98,1.049e-5,,,1.049e-5
