Wavelength (nm),Sum,Mg I (4.9e-01),Mg II (5.1e-01),Mg III (4.2e-06)
404.03,2.797e-1,2.797e-1,,
404.08,7.830e-1,7.830e-1,,
404.13,2.127e+0,2.127e+0,,
404.18,5.603e+0,5.603e+0,,
404.23,1.432e+1,1.432e+1,,
404.28,3.551e+1,3.551e+1,,
404.33,8.542e+1,8.542e+1,,
404.38,1.993e+2,1.993e+2,,
404.43,4.512e+2,4.512e+2,,
404.48,9.908e+2,9.908e+2,,
404.53,2.111e+3,2.111e+3,,
404.58,4.362e+3,4.362e+3,,
404.63,8.743e+3,8.743e+3,,
404.68,1.700e+4,1.700e+4,,
404.73,3.208e+4,3.208e+4,,
404.78,5.871e+4,5.871e+4,,
404.83,1.042e+5,1.042e+5,,
404.88,1.795e+5,1.795e+5,,
404.93,2.999e+5,2.999e+5,,
404.98,4.861e+5,4.861e+5,,
405.03,7.642e+5,7.642e+5,,
405.08,1.166e+6,1.166e+6,,
405.13,1.725e+6,1.725e+6,,
405.18,2.475e+6,2.475e+6,,
405.23,3.447e+6,3.447e+6,,
405.28,4.656e+6,4.656e+6,,
405.33,6.101e+6,6.101e+6,,
405.38,7.755e+6,7.755e+6,,
405.43,9.563e+6,9.563e+6,,
405.48,1.144e+7,1.144e+7,,
405.53,1.328e+7,1.328e+7,,
405.58,1.494e+7,1.494e+7,,
405.63,1.632e+7,1.632e+7,,
405.68,1.729e+7,1.729e+7,,
405.73,1.777e+7,1.777e+7,,
405.78,1.772e+7,1.772e+7,,
405.83,1.713e+7,1.713e+7,,
405.88,1.607e+7,1.607e+7,,
405.93,1.463e+7,1.463e+7,,
405.98,1.292e+7,1.292e+7,,
406.03,1.106e+7,1.106e+7,,
406.08,9.193e+6,9.193e+6,,
406.13,7.410e+6,7.410e+6,,
406.18,5.794e+6,5.794e+6,,
406.23,4.395e+6,4.395e+6,,
406.28,3.234e+6,3.234e+6,,
406.33,2.308e+6,2.308e+6,,
406.38,1.599e+6,1.599e+6,,
406.43,1.074e+6,1.074e+6,,
406.48,6.998e+5,6.998e+5,,
406.53,4.424e+5,4.424e+5,,
406.58,2.713e+5,2.713e+5,,
406.63,1.614e+5,1.614e+5,,
406.68,9.315e+4,9.315e+4,,
406.73,5.215e+4,5.215e+4,,
406.78,2.832e+4,2.832e+4,,
406.83,1.492e+4,1.492e+4,,
406.88,7.627e+3,7.627e+3,,
406.93,3.781e+3,3.781e+3,,
406.98,1.819e+3,1.819e+3,,
407.03,8.486e+2,8.486e+2,,
407.08,3.841e+2,3.841e+2,,
407.13,1.687e+2,1.687e+2,,
407.18,7.184e+1,7.184e+1,,
407.23,2.969e+1,2.969e+1,,
407.28,1.190e+1,1.190e+1,,
407.33,4.628e+0,4.628e+0,,
407.38,1.746e+0,1.746e+0,,
407.43,6.388e-1,6.388e-1,,
407.48,2.268e-1,2.268e-1,,
407.53,7.810e-2,7.810e-2,,
407.58,2.609e-2,2.609e-2,,
407.63,8.456e-3,8.456e-3,,
407.68,2.658e-3,2.658e-3,,
407.73,8.108e-4,8.108e-4,,
407.78,2.399e-4,2.399e-4,,
407.83,6.885e-5,6.885e-5,,
407.88,1.917e-5,1.917e-5,,
407.93,5.178e-6,5.178e-6,,
407.98,1.357e-6,1.357e-6,,
408.03,3.448e-7,3.448e-7,,
408.08,8.503e-8,8.503e-8,,
408.13,2.034e-8,2.034e-8,,
408.18,4.720e-9,4.720e-9,,
414.23,6.007e-9,6.007e-9,,
414.28,2.498e-8,2.498e-8,,
414.33,1.009e-7,1.009e-7,,
414.38,3.963e-7,3.963e-7,,
414.43,1.512e-6,1.512e-6,,
414.48,5.603e-6,5.603e-6,,
414.53,2.018e-5,2.018e-5,,
414.58,7.059e-5,7.059e-5,,
414.63,2.400e-4,2.400e-4,,
414.68,7.927e-4,7.927e-4,,
414.73,2.544e-3,2.544e-3,,
414.78,7.932e-3,7.932e-3,,
414.83,2.403e-2,2.403e-2,,
414.88,7.075e-2,7.075e-2,,
414.93,2.024e-1,2.024e-1,,
414.98,5.624e-1,5.624e-1,,
415.03,1.518e+0,1.518e+0,,
415.08,3.984e+0,3.984e+0,,
415.13,1.015e+1,1.015e+1,,
415.18,2.515e+1,2.515e+1,,
415.23,6.052e+1,6.052e+1,,
415.28,1.415e+2,1.415e+2,,
415.33,3.215e+2,3.215e+2,,
415.38,7.096e+2,7.096e+2,,
415.43,1.522e+3,1.522e+3,,
415.48,3.171e+3,3.171e+3,,
415.53,6.421e+3,6.421e+3,,
415.58,1.263e+4,1.263e+4,,
415.63,2.414e+4,2.414e+4,,
415.68,4.483e+4,4.483e+4,,
415.73,8.090e+4,8.090e+4,,
415.78,1.418e+5,1.418e+5,,
415.83,2.416e+5,2.416e+5,,
415.88,3.999e+5,3.999e+5,,
415.93,6.430e+5,6.430e+5,,
415.98,1.005e+6,1.005e+6,,
416.03,1.525e+6,1.525e+6,,
416.08,2.250e+6,2.250e+6,,
416.13,3.224e+6,3.224e+6,,
416.18,4.490e+6,4.490e+6,,
416.23,6.075e+6,6.075e+6,,
416.28,7.986e+6,7.986e+6,,
416.33,1.020e+7,1.020e+7,,
416.38,1.266e+7,1.266e+7,,
416.43,1.526e+7,1.526e+7,,
416.48,1.788e+7,1.788e+7,,
416.53,2.036e+7,2.036e+7,,
416.58,2.251e+7,2.251e+7,,
416.63,2.420e+7,2.420e+7,,
416.68,2.526e+7,2.526e+7,,
416.73,2.563e+7,2.563e+7,,
416.78,2.526e+7,2.526e+7,,
416.84,2.390e+7,2.390e+7,,
416.89,2.212e+7,2.212e+7,,
416.94,1.988e+7,1.988e+7,,
416.99,1.737e+7,1.737e+7,,
417.04,1.474e+7,1.474e+7,,
417.09,1.215e+7,1.215e+7,,
417.14,9.735e+6,9.735e+6,,
417.19,7.578e+6,7.578e+6,,
417.24,5.732e+6,5.732e+6,,
417.29,4.212e+6,4.212e+6,,
417.34,3.007e+6,3.007e+6,,
417.39,2.086e+6,2.086e+6,,
417.44,1.406e+6,1.406e+6,,
417.49,9.210e+5,9.210e+5,,
417.54,5.861e+5,5.861e+5,,
417.59,3.624e+5,3.624e+5,,
417.64,2.177e+5,2.177e+5,,
417.69,1.271e+5,1.271e+5,,
417.74,7.205e+4,7.205e+4,,
417.79,3.970e+4,3.970e+4,,
417.84,2.126e+4,2.126e+4,,
417.89,1.106e+4,1.106e+4,,
417.94,5.589e+3,5.589e+3,,
417.99,2.744e+3,2.744e+3,,
418.04,1.309e+3,1.309e+3,,
418.09,6.071e+2,6.071e+2,,
418.14,2.734e+2,2.734e+2,,
418.19,1.197e+2,1.197e+2,,
418.24,5.089e+1,5.089e+1,,
418.29,2.103e+1,2.103e+1,,
