Wavelength (nm),Sum,Mg I (7.9e-03),Mg II (7.2e-01),Mg III (2.7e-01)
260.78,1.126e-16,,,1.126e-16
260.83,4.810e-16,,,4.810e-16
260.88,1.910e-15,,,1.910e-15
260.93,7.048e-15,,,7.048e-15
260.98,2.418e-14,,,2.418e-14
261.03,7.713e-14,,,7.713e-14
261.08,2.287e-13,,,2.287e-13
261.13,6.305e-13,,,6.305e-13
261.18,1.616e-12,,,1.616e-12
261.23,3.849e-12,,,3.849e-12
261.28,8.525e-12,,,8.525e-12
261.33,1.755e-11,,,1.755e-11
261.38,3.360e-11,,,3.360e-11
261.43,5.979e-11,,,5.979e-11
261.48,9.891e-11,,,9.891e-11
261.53,1.521e-10,,,1.521e-10
261.58,2.175e-10,,,2.175e-10
261.63,2.890e-10,,,2.890e-10
261.68,3.571e-10,,,3.571e-10
261.73,4.102e-10,,,4.102e-10
261.78,4.381e-10,,,4.381e-10
261.83,4.349e-10,,,4.349e-10
261.88,4.014e-10,,,4.014e-10
261.93,3.443e-10,,,3.443e-10
261.98,2.747e-10,,,2.747e-10
262.03,2.036e-10,,,2.036e-10
262.08,1.404e-10,,,1.404e-10
262.13,8.996e-11,,,8.996e-11
262.18,5.359e-11,,,5.359e-11
262.23,2.968e-11,,,2.968e-11
262.28,1.528e-11,,,1.528e-11
262.33,7.314e-12,,,7.314e-12
262.38,3.255e-12,,,3.255e-12
262.44,1.119e-12,,,1.119e-12
262.49,4.240e-13,,,4.240e-13
262.54,1.494e-13,,,1.494e-13
262.59,4.893e-14,,,4.893e-14
262.64,1.490e-14,,,1.490e-14
262.69,4.217e-15,,,4.217e-15
262.74,1.110e-15,,,1.110e-15
262.79,2.715e-16,,,2.715e-16
262.84,6.175e-17,,,6.175e-17
262.89,1.306e-17,,,1.306e-17
262.94,2.566e-18,,,2.566e-18
262.99,4.689e-19,,,4.689e-19
263.04,7.966e-20,,,7.966e-20
263.09,1.258e-20,,,1.258e-20
263.14,1.847e-21,,,1.847e-21
263.19,2.521e-22,,,2.521e-22
263.24,3.198e-23,,,3.198e-23
263.29,3.773e-24,,,3.773e-24
263.34,4.137e-25,,,4.137e-25
263.39,4.217e-26,,,4.217e-26
264.49,1.255e-7,,1.255e-7,
264.54,1.144e-6,,1.144e-6,
264.59,9.726e-6,,9.726e-6,
264.64,7.702e-5,,7.702e-5,
264.69,5.683e-4,,5.683e-4,
264.74,3.908e-3,,3.908e-3,
264.79,2.504e-2,,2.504e-2,
264.84,1.495e-1,,1.495e-1,
264.89,8.316e-1,,8.316e-1,
264.94,4.311e+0,,4.311e+0,
264.99,2.082e+1,,2.082e+1,
265.04,9.372e+1,,9.372e+1,
265.09,3.931e+2,,3.931e+2,
265.14,1.536e+3,,1.536e+3,
265.19,5.594e+3,,5.594e+3,
265.24,1.898e+4,,1.898e+4,
265.29,6.002e+4,,6.002e+4,
265.34,1.768e+5,,1.768e+5,
265.39,4.855e+5,,4.855e+5,
265.44,1.242e+6,,1.242e+6,
265.49,2.961e+6,,2.961e+6,
265.54,6.576e+6,,6.576e+6,
265.59,1.361e+7,,1.361e+7,
265.64,2.625e+7,,2.625e+7,
265.69,4.717e+7,,4.717e+7,
265.74,7.900e+7,,7.900e+7,
265.79,1.233e+8,,1.233e+8,
265.84,1.792e+8,,1.792e+8,
265.89,2.428e+8,,2.428e+8,
265.94,3.065e+8,,3.065e+8,
265.99,3.606e+8,,3.606e+8,
266.04,3.953e+8,,3.953e+8,
266.09,4.038e+8,,4.038e+8,
266.14,3.843e+8,,3.843e+8,
266.19,3.408e+8,,3.408e+8,
266.24,2.816e+8,,2.816e+8,
266.29,2.169e+8,,2.169e+8,
266.34,1.556e+8,,1.556e+8,
266.39,1.040e+8,,1.040e+8,
266.44,6.482e+7,,6.482e+7,
266.49,3.763e+7,,3.763e+7,
266.54,2.036e+7,,2.036e+7,
266.59,1.026e+7,,1.026e+7,
266.64,4.820e+6,,4.820e+6,
266.69,2.109e+6,,2.109e+6,
266.74,8.602e+5,,8.602e+5,
266.79,3.269e+5,,3.269e+5,
266.84,1.158e+5,,1.158e+5,
266.89,3.819e+4,,3.819e+4,
266.94,1.174e+4,,1.174e+4,
266.99,3.364e+3,,3.364e+3,
267.04,8.981e+2,,8.981e+2,
267.09,2.234e+2,,2.234e+2,
267.14,5.179e+1,,5.179e+1,
267.19,1.118e+1,,1.118e+1,
267.24,2.251e+0,,2.251e+0,
267.29,4.222e-1,,4.222e-1,
267.34,7.377e-2,,7.377e-2,
267.39,1.201e-2,,1.201e-2,
267.44,1.823e-3,,1.823e-3,
267.49,2.577e-4,,2.577e-4,
267.54,3.395e-5,,3.395e-5,
267.59,4.167e-6,,4.167e-6,
267.64,4.767e-7,,4.767e-7,
267.69,5.081e-8,,5.081e-8,
271.54,7.151e-10,7.151e-10,,
271.59,6.394e-9,6.394e-9,,
271.64,5.346e-8,5.346e-8,,
271.69,4.197e-7,4.197e-7,,
271.74,3.072e-6,3.072e-6,,
271.79,2.103e-5,2.103e-5,,
271.84,1.347e-4,1.347e-4,,
271.89,8.067e-4,8.067e-4,,
271.94,4.521e-3,4.521e-3,,
271.99,2.371e-2,2.371e-2,,
272.04,1.163e-1,1.163e-1,,
272.09,5.340e-1,5.340e-1,,
272.14,2.295e+0,2.295e+0,,
272.19,9.230e+0,9.230e+0,,
272.24,3.476e+1,3.476e+1,,
272.29,1.226e+2,1.226e+2,,
272.34,4.048e+2,4.048e+2,,
272.39,1.253e+3,1.253e+3,,
272.44,3.635e+3,3.635e+3,,
272.49,9.889e+3,9.889e+3,,
272.54,2.524e+4,2.524e+4,,
272.59,6.049e+4,6.049e+4,,
272.64,1.361e+5,1.361e+5,,
272.69,2.881e+5,2.881e+5,,
272.74,5.736e+5,5.736e+5,,
272.79,1.075e+6,1.075e+6,,
272.84,1.900e+6,1.900e+6,,
272.89,3.168e+6,3.168e+6,,
272.94,4.989e+6,4.989e+6,,
272.99,7.434e+6,7.434e+6,,
273.04,1.049e+7,1.049e+7,,
273.09,1.407e+7,1.407e+7,,
273.14,1.796e+7,1.796e+7,,
273.19,2.192e+7,2.192e+7,,
273.24,2.571e+7,2.571e+7,,
273.29,2.915e+7,2.915e+7,,
273.34,3.217e+7,3.217e+7,,
273.39,3.479e+7,3.479e+7,,
273.44,3.700e+7,3.700e+7,,
273.49,3.873e+7,3.873e+7,,
273.54,3.976e+7,3.976e+7,,
273.59,3.975e+7,3.975e+7,,
273.64,3.840e+7,3.840e+7,,
273.69,3.556e+7,3.556e+7,,
273.74,3.136e+7,3.136e+7,,
273.79,2.620e+7,2.620e+7,,
273.84,2.064e+7,2.064e+7,,
273.89,1.531e+7,1.531e+7,,
273.94,1.066e+7,1.066e+7,,
273.99,6.963e+6,6.963e+6,,
274.04,4.262e+6,4.262e+6,,
274.09,2.443e+6,2.443e+6,,
274.14,1.311e+6,1.311e+6,,
274.19,6.582e+5,6.582e+5,,
274.24,3.093e+5,3.093e+5,,
274.29,1.360e+5,1.360e+5,,
274.34,5.594e+4,5.594e+4,,
274.39,2.153e+4,2.153e+4,,
274.44,7.750e+3,7.750e+3,,
274.49,2.610e+3,2.610e+3,,
274.54,8.221e+2,8.221e+2,,
274.59,2.423e+2,2.423e+2,,
274.64,6.678e+1,6.678e+1,,
274.69,1.722e+1,1.722e+1,,
274.74,4.153e+0,4.153e+0,,
274.79,9.370e-1,9.370e-1,,
274.84,1.977e-1,1.977e-1,,
274.89,3.904e-2,3.904e-2,,
274.94,7.209e-3,7.209e-3,,
274.99,1.245e-3,1.245e-3,,
275.04,2.012e-4,2.012e-4,,
275.09,3.041e-5,3.041e-5,,
275.14,4.299e-6,4.299e-6,,
275.19,5.686e-7,5.686e-7,,
275.24,7.034e-8,7.034e-8,,
275.29,8.140e-9,8.140e-9,,
275.99,3.154e-8,3.154e-8,,
276.04,2.698e-7,2.698e-7,,
276.09,2.163e-6,2.163e-6,,
276.14,1.627e-5,1.627e-5,,
276.19,1.146e-4,1.146e-4,,
276.24,7.570e-4,7.570e-4,,
276.29,4.684e-3,4.684e-3,,
276.34,2.717e-2,2.717e-2,,
