file,channels,unique_channels,min_wavelength_nm,max_wavelength_nm,status
plibs_z903_43d15.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_43d22.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_44d6.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_46436m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_47d14.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_47d28.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_47d48.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_50d63.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_51d5.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_53d13.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_53d21.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_53d24.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_53d6.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54939m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54940m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54941m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54942m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54943bm.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54944m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54947m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54949m.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_54d2.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_55d17.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_60d1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_60d10.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_60d29.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_62d11.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_62d7.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_63d1.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_63d3.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_65d13.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_65d4.csv,23401,23401,180.0,959.999999999792,readable
plibs_z903_65d42.csv,23401,23401,180.0,959.999999999792,readable
