Wavelength (nm),Sum,Fe I (6.3e-01),Fe II (3.7e-01),Fe III (5.1e-07)
402,1.054e+7,1.054e+7,,1.275e-11
402.1,1.040e+7,1.040e+7,,1.917e-11
402.2,1.031e+7,1.031e+7,,2.853e-11
402.3,1.022e+7,1.022e+7,,4.155e-11
402.4,1.012e+7,1.012e+7,,5.895e-11
402.5,1.002e+7,1.002e+7,,8.126e-11
402.6,9.968e+6,9.968e+6,,1.087e-10
402.7,1.005e+7,1.005e+7,,1.411e-10
402.8,1.041e+7,1.041e+7,,1.776e-10
402.9,1.127e+7,1.127e+7,,2.169e-10
403,1.293e+7,1.293e+7,,2.568e-10
403.1,1.578e+7,1.578e+7,,2.950e-10
403.2,2.032e+7,2.032e+7,,3.288e-10
403.3,2.712e+7,2.712e+7,,3.555e-10
403.4,3.678e+7,3.678e+7,,3.731e-10
403.5,4.985e+7,4.985e+7,,3.805e-10
403.6,6.678e+7,6.678e+7,,3.773e-10
403.7,8.776e+7,8.776e+7,,3.647e-10
403.8,1.126e+8,1.126e+8,,3.448e-10
403.9,1.407e+8,1.407e+8,,3.207e-10
404,1.709e+8,1.709e+8,,2.958e-10
404.1,2.017e+8,2.017e+8,,2.741e-10
404.2,2.311e+8,2.311e+8,,2.589e-10
404.3,2.570e+8,2.570e+8,,2.530e-10
404.4,2.773e+8,2.773e+8,,2.581e-10
404.5,2.904e+8,2.904e+8,,2.747e-10
404.6,2.952e+8,2.952e+8,,3.020e-10
404.7,2.914e+8,2.914e+8,,3.377e-10
404.8,2.797e+8,2.797e+8,,3.786e-10
404.9,2.613e+8,2.613e+8,,4.206e-10
405,2.382e+8,2.382e+8,,4.591e-10
405.1,2.129e+8,2.129e+8,,4.900e-10
405.2,1.877e+8,1.877e+8,,5.097e-10
405.3,1.650e+8,1.650e+8,,5.157e-10
405.4,1.466e+8,1.466e+8,,5.070e-10
405.5,1.338e+8,1.338e+8,,4.840e-10
405.6,1.273e+8,1.273e+8,,4.485e-10
405.7,1.271e+8,1.271e+8,,4.034e-10
405.8,1.324e+8,1.324e+8,,3.522e-10
405.9,1.425e+8,1.425e+8,,2.985e-10
406,1.557e+8,1.557e+8,,2.458e-10
406.1,1.707e+8,1.707e+8,,1.971e-10
406.2,1.860e+8,1.860e+8,,1.543e-10
406.3,2.002e+8,2.002e+8,,1.189e-10
406.4,2.122e+8,2.122e+8,,9.171e-11
406.5,2.213e+8,2.213e+8,,7.305e-11
406.6,2.269e+8,2.269e+8,,6.302e-11
406.7,2.290e+8,2.290e+8,,6.174e-11
406.8,2.274e+8,2.274e+8,,6.938e-11
406.9,2.224e+8,2.224e+8,,8.627e-11
407,2.141e+8,2.141e+8,,1.128e-10
407.1,2.031e+8,2.031e+8,,1.491e-10
407.2,1.896e+8,1.896e+8,,1.951e-10
407.3,1.742e+8,1.742e+8,,2.499e-10
407.4,1.572e+8,1.572e+8,,3.120e-10
407.5,1.393e+8,1.393e+8,,3.788e-10
407.6,1.212e+8,1.212e+8,,4.467e-10
407.7,1.033e+8,1.033e+8,,5.113e-10
407.8,8.637e+7,8.637e+7,,5.682e-10
407.9,7.077e+7,7.077e+7,,6.129e-10
408,5.689e+7,5.689e+7,,6.418e-10
408.1,4.492e+7,4.492e+7,,6.523e-10
408.2,3.491e+7,3.491e+7,,6.436e-10
