Wavelength (nm),Sum,Cu I (8.1e-01),Cu II (1.9e-01)
452.3,5.063e+5,5.063e+5,
452.35,7.309e+5,7.309e+5,
452.4,1.030e+6,1.030e+6,
452.45,1.417e+6,1.417e+6,
452.5,1.903e+6,1.903e+6,
452.55,2.494e+6,2.494e+6,
452.6,3.190e+6,3.190e+6,
452.65,3.982e+6,3.982e+6,
452.7,4.852e+6,4.852e+6,
452.75,5.770e+6,5.770e+6,
452.8,6.697e+6,6.697e+6,
452.85,7.589e+6,7.589e+6,
452.9,8.396e+6,8.396e+6,
452.95,9.071e+6,9.071e+6,
453,9.574e+6,9.574e+6,
453.05,9.876e+6,9.876e+6,
453.1,9.966e+6,9.966e+6,
453.15,9.849e+6,9.849e+6,
453.2,9.549e+6,9.549e+6,
453.25,9.106e+6,9.106e+6,
453.3,8.573e+6,8.573e+6,
453.35,8.009e+6,8.009e+6,
453.4,7.470e+6,7.470e+6,
453.45,7.010e+6,7.010e+6,
453.5,6.668e+6,6.668e+6,
453.55,6.466e+6,6.466e+6,
453.6,6.411e+6,6.411e+6,
453.65,6.489e+6,6.489e+6,
453.7,6.671e+6,6.671e+6,
453.75,6.917e+6,6.917e+6,
453.8,7.178e+6,7.178e+6,
453.85,7.406e+6,7.406e+6,
453.9,7.554e+6,7.554e+6,
453.95,7.588e+6,7.588e+6,
454,7.483e+6,7.483e+6,
454.05,7.232e+6,7.232e+6,
454.1,6.839e+6,6.839e+6,
454.15,6.324e+6,6.324e+6,
454.2,5.713e+6,5.713e+6,
454.25,5.041e+6,5.041e+6,
454.3,4.344e+6,4.344e+6,
454.35,3.655e+6,3.655e+6,
454.4,3.002e+6,3.002e+6,
454.45,2.406e+6,2.406e+6,
454.5,1.883e+6,1.883e+6,
454.55,1.438e+6,1.438e+6,
454.6,1.072e+6,1.072e+6,
454.65,7.804e+5,7.804e+5,
454.7,5.543e+5,5.543e+5,
454.75,3.843e+5,3.843e+5,
454.8,2.600e+5,2.600e+5,
454.85,1.717e+5,1.717e+5,
454.9,1.107e+5,1.107e+5,
454.95,6.963e+4,6.963e+4,
455,4.276e+4,4.276e+4,
455.05,2.563e+4,2.563e+4,
455.1,1.499e+4,1.499e+4,
455.15,8.560e+3,8.560e+3,
455.2,4.770e+3,4.770e+3,
455.25,2.595e+3,2.595e+3,
455.3,1.377e+3,1.377e+3,
455.35,7.137e+2,7.137e+2,
455.4,3.609e+2,3.609e+2,
455.45,1.782e+2,1.782e+2,
455.5,8.584e+1,8.584e+1,
455.55,4.036e+1,4.036e+1,
455.6,1.852e+1,1.852e+1,
455.65,8.298e+0,8.298e+0,
455.7,3.628e+0,3.628e+0,
455.75,1.548e+0,1.548e+0,
455.8,6.449e-1,6.449e-1,
455.85,2.622e-1,2.622e-1,
455.9,1.040e-1,1.040e-1,
455.95,4.029e-2,4.029e-2,
456,1.523e-2,1.523e-2,
456.05,5.618e-3,5.618e-3,
456.1,2.023e-3,2.023e-3,
456.15,7.117e-4,7.117e-4,
456.2,2.462e-4,2.462e-4,
456.25,8.910e-5,8.910e-5,
456.3,5.025e-5,5.025e-5,
456.35,8.137e-5,8.137e-5,
456.4,2.226e-4,2.226e-4,
456.45,6.494e-4,6.494e-4,
456.5,1.868e-3,1.868e-3,
456.55,5.251e-3,5.251e-3,
456.6,1.442e-2,1.442e-2,
456.65,3.865e-2,3.865e-2,
456.7,1.012e-1,1.012e-1,
456.75,2.587e-1,2.587e-1,
456.8,6.458e-1,6.458e-1,
456.85,1.574e+0,1.574e+0,
456.9,3.748e+0,3.748e+0,
456.95,8.714e+0,8.714e+0,
457,1.978e+1,1.978e+1,
457.05,4.385e+1,4.385e+1,
457.1,9.494e+1,9.494e+1,
457.15,2.007e+2,2.007e+2,
457.2,4.143e+2,4.143e+2,
457.25,8.351e+2,8.351e+2,
457.3,1.644e+3,1.644e+3,
457.35,3.160e+3,3.160e+3,
457.4,5.932e+3,5.932e+3,
457.45,1.087e+4,1.087e+4,
457.5,1.946e+4,1.946e+4,
457.55,3.402e+4,3.402e+4,
457.6,5.807e+4,5.807e+4,
457.65,9.680e+4,9.680e+4,
457.7,1.576e+5,1.576e+5,
457.75,2.504e+5,2.504e+5,
457.8,3.887e+5,3.887e+5,
457.85,5.892e+5,5.892e+5,
457.9,8.720e+5,8.720e+5,
457.95,1.260e+6,1.260e+6,
458,1.779e+6,1.779e+6,
458.05,2.452e+6,2.452e+6,
458.1,3.300e+6,3.300e+6,
458.15,4.337e+6,4.337e+6,
458.2,5.566e+6,5.566e+6,
458.25,6.975e+6,6.975e+6,
458.3,8.537e+6,8.537e+6,
458.35,1.020e+7,1.020e+7,
458.4,1.191e+7,1.191e+7,
458.45,1.357e+7,1.357e+7,
458.5,1.510e+7,1.510e+7,
458.55,1.641e+7,1.641e+7,
458.6,1.741e+7,1.741e+7,
458.65,1.805e+7,1.805e+7,
458.7,1.826e+7,1.826e+7,
458.75,1.805e+7,1.805e+7,
458.8,1.741e+7,1.741e+7,
458.85,1.641e+7,1.641e+7,
458.9,1.510e+7,1.510e+7,
458.95,1.357e+7,1.357e+7,
459,1.191e+7,1.191e+7,
459.05,1.020e+7,1.020e+7,
459.1,8.537e+6,8.537e+6,
459.15,6.975e+6,6.975e+6,
459.2,5.566e+6,5.566e+6,
459.25,4.337e+6,4.337e+6,
459.3,3.300e+6,3.300e+6,
459.35,2.452e+6,2.452e+6,
459.4,1.779e+6,1.779e+6,
459.45,1.260e+6,1.260e+6,
459.5,8.720e+5,8.720e+5,
459.55,5.892e+5,5.892e+5,
459.6,3.887e+5,3.887e+5,
459.65,2.504e+5,2.504e+5,
459.7,1.576e+5,1.576e+5,
459.75,9.680e+4,9.680e+4,
459.8,5.807e+4,5.807e+4,
459.85,3.402e+4,3.402e+4,
459.9,1.946e+4,1.946e+4,
459.95,1.087e+4,1.087e+4,
460,5.932e+3,5.932e+3,
460.05,3.160e+3,3.160e+3,
460.1,1.644e+3,1.644e+3,
460.15,8.351e+2,8.351e+2,
460.2,4.143e+2,4.143e+2,
460.25,2.007e+2,2.007e+2,
460.3,9.494e+1,9.494e+1,
460.35,4.385e+1,4.385e+1,
460.4,1.978e+1,1.978e+1,
460.45,8.714e+0,8.714e+0,
460.5,3.748e+0,3.748e+0,
460.55,1.574e+0,1.574e+0,
460.6,6.458e-1,6.458e-1,
460.65,2.587e-1,2.587e-1,
460.7,1.012e-1,1.012e-1,
460.75,3.865e-2,3.865e-2,
460.8,1.442e-2,1.442e-2,
460.85,5.250e-3,5.250e-3,
460.9,1.867e-3,1.867e-3,
460.95,6.486e-4,6.486e-4,
461,2.200e-4,2.200e-4,
461.05,7.286e-5,7.286e-5,
461.1,2.357e-5,2.357e-5,
461.15,7.443e-6,7.443e-6,
461.2,2.295e-6,2.295e-6,
461.25,6.913e-7,6.913e-7,
461.3,2.033e-7,2.033e-7,
461.35,5.839e-8,5.839e-8,
461.4,1.638e-8,1.638e-8,
461.45,4.484e-9,4.484e-9,
462.3,4.356e-9,4.356e-9,
462.35,1.578e-8,1.578e-8,
462.4,5.588e-8,5.588e-8,
462.45,1.933e-7,1.933e-7,
462.5,6.535e-7,6.535e-7,
462.55,2.159e-6,2.159e-6,
462.6,6.969e-6,6.969e-6,
462.65,2.198e-5,2.198e-5,
462.7,6.774e-5,6.774e-5,
462.75,2.040e-4,2.040e-4,
462.8,6.004e-4,6.004e-4,
462.85,1.726e-3,1.726e-3,
462.9,4.851e-3,4.851e-3,
462.95,1.332e-2,1.332e-2,
463,3.574e-2,3.574e-2,
463.05,9.369e-2,9.369e-2,
463.1,2.400e-1,2.400e-1,
463.15,6.008e-1,6.008e-1,
463.2,1.470e+0,1.470e+0,
463.25,3.513e+0,3.513e+0,
463.3,8.204e+0,8.204e+0,
463.35,1.872e+1,1.872e+1,
463.4,4.175e+1,4.175e+1,
463.45,9.098e+1,9.098e+1,
463.5,1.937e+2,1.937e+2,
463.55,4.031e+2,4.031e+2,
463.6,8.195e+2,8.195e+2,
463.65,1.628e+3,1.628e+3,
463.7,3.160e+3,3.160e+3,
463.75,5.995e+3,5.995e+3,
463.8,1.111e+4,1.111e+4,
463.85,2.013e+4,2.013e+4,
463.9,3.562e+4,3.562e+4,
463.95,6.160e+4,6.160e+4,
464,1.041e+5,1.041e+5,
464.05,1.719e+5,1.719e+5,
464.1,2.774e+5,2.774e+5,
464.15,4.373e+5,4.373e+5,
464.2,6.738e+5,6.738e+5,
464.25,1.014e+6,1.014e+6,
464.3,1.492e+6,1.492e+6,
464.35,2.145e+6,2.145e+6,5.343e-15
464.4,3.013e+6,3.013e+6,1.923e-14
464.45,4.135e+6,4.135e+6,6.764e-14
464.5,5.546e+6,5.546e+6,2.325e-13
464.55,7.268e+6,7.268e+6,7.813e-13
464.6,9.307e+6,9.307e+6,2.566e-12
464.65,1.165e+7,1.165e+7,8.234e-12
464.7,1.424e+7,1.424e+7,2.583e-11
464.75,1.701e+7,1.701e+7,7.918e-11
464.8,1.986e+7,1.986e+7,2.373e-10
464.85,2.266e+7,2.266e+7,6.948e-10
464.9,2.526e+7,2.526e+7,1.989e-9
464.95,2.752e+7,2.752e+7,5.563e-9
465,2.929e+7,2.929e+7,1.521e-8
465.05,3.046e+7,3.046e+7,4.063e-8
465.1,3.096e+7,3.096e+7,1.061e-7
465.15,3.074e+7,3.074e+7,2.708e-7
465.2,2.983e+7,2.983e+7,6.756e-7
465.25,2.829e+7,2.829e+7,1.647e-6
465.3,2.621e+7,2.621e+7,3.925e-6
465.35,2.373e+7,2.373e+7,9.141e-6
465.4,2.100e+7,2.100e+7,2.080e-5
465.45,1.815e+7,1.815e+7,4.628e-5
465.5,1.533e+7,1.533e+7,1.006e-4
465.55,1.266e+7,1.266e+7,2.138e-4
465.6,1.021e+7,1.021e+7,4.440e-4
465.65,8.046e+6,8.046e+6,9.013e-4
465.7,6.197e+6,6.197e+6,1.788e-3
465.75,4.663e+6,4.663e+6,3.467e-3
465.8,3.429e+6,3.429e+6,6.569e-3
465.85,2.464e+6,2.464e+6,1.217e-2
465.9,1.730e+6,1.730e+6,2.202e-2
465.95,1.187e+6,1.187e+6,3.896e-2
466,7.958e+5,7.958e+5,6.735e-2
466.05,5.213e+5,5.213e+5,1.138e-1
466.1,3.337e+5,3.337e+5,1.880e-1
466.15,2.087e+5,2.087e+5,3.034e-1
466.2,1.276e+5,1.276e+5,4.787e-1
466.25,7.620e+4,7.620e+4,7.381e-1
466.3,4.447e+4,4.447e+4,1.112e+0
466.35,2.536e+4,2.536e+4,1.638e+0
466.4,1.413e+4,1.413e+4,2.358e+0
466.45,7.698e+3,7.695e+3,3.317e+0
466.5,4.099e+3,4.094e+3,4.561e+0
466.55,2.135e+3,2.129e+3,6.130e+0
466.6,1.089e+3,1.081e+3,8.051e+0
466.65,5.472e+2,5.368e+2,1.034e+1
466.7,2.734e+2,2.604e+2,1.297e+1
466.75,1.393e+2,1.234e+2,1.590e+1
466.8,7.623e+1,5.717e+1,1.906e+1
466.85,4.820e+1,2.588e+1,2.233e+1
466.9,3.701e+1,1.144e+1,2.556e+1
466.95,3.356e+1,4.945e+0,2.861e+1
467,3.340e+1,2.088e+0,3.131e+1
467.05,3.436e+1,8.616e-1,3.350e+1
467.1,3.540e+1,3.474e-1,3.505e+1
467.15,3.602e+1,1.369e-1,3.589e+1
467.2,3.602e+1,5.269e-2,3.597e+1
467.25,3.535e+1,1.982e-2,3.533e+1
467.3,3.407e+1,7.286e-3,3.407e+1
467.35,3.232e+1,2.617e-3,3.232e+1
467.4,3.027e+1,9.186e-4,3.027e+1
467.45,2.815e+1,3.150e-4,2.815e+1
467.5,2.618e+1,1.056e-4,2.617e+1
467.55,2.455e+1,3.457e-5,2.455e+1
467.6,2.346e+1,1.106e-5,2.346e+1
467.65,2.303e+1,3.461e-6,2.303e+1
467.7,2.334e+1,1.062e-6,2.334e+1
467.75,2.440e+1,3.326e-7,2.440e+1
467.8,2.613e+1,1.493e-7,2.613e+1
467.85,2.843e+1,2.146e-7,2.843e+1
467.9,3.110e+1,6.130e-7,3.110e+1
467.95,3.394e+1,1.904e-6,3.394e+1
468,3.669e+1,5.852e-6,3.669e+1
468.05,3.912e+1,1.758e-5,3.912e+1
468.1,4.101e+1,5.165e-5,4.101e+1
468.15,4.217e+1,1.483e-4,4.217e+1
468.2,4.249e+1,4.165e-4,4.249e+1
468.25,4.190e+1,1.143e-3,4.190e+1
468.3,4.043e+1,3.068e-3,4.043e+1
468.35,3.816e+1,8.050e-3,3.815e+1
468.4,3.523e+1,2.065e-2,3.521e+1
468.45,3.181e+1,5.179e-2,3.176e+1
468.5,2.814e+1,1.270e-1,2.801e+1
468.55,2.445e+1,3.044e-1,2.415e+1
468.6,2.106e+1,7.133e-1,2.035e+1
468.65,1.839e+1,1.634e+0,1.676e+1
468.7,1.716e+1,3.661e+0,1.349e+1
468.75,1.864e+1,8.017e+0,1.062e+1
468.8,2.533e+1,1.716e+1,8.170e+0
468.85,4.207e+1,3.593e+1,6.143e+0
468.9,7.804e+1,7.353e+1,4.515e+0
