s,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
324.1,1.936e+8,1.936e+8,
324.15,3.501e+8,3.501e+8,
324.21,6.697e+8,6.697e+8,
324.26,1.091e+9,1.091e+9,
324.31,1.696e+9,1.696e+9,
324.36,2.514e+9,2.514e+9,
324.41,3.553e+9,3.553e+9,
324.46,4.790e+9,4.790e+9,
324.51,6.158e+9,6.158e+9,
324.56,7.551e+9,7.551e+9,
324.61,8.830e+9,8.830e+9,
324.66,9.847e+9,9.847e+9,
324.71,1.047e+10,1.047e+10,
324.76,1.062e+10,1.062e+10,
324.81,1.028e+10,1.028e+10,
324.86,9.481e+9,9.481e+9,
324.91,8.342e+9,8.342e+9,
324.96,6.999e+9,6.999e+9,
325.01,5.601e+9,5.601e+9,
325.06,4.275e+9,4.275e+9,
325.11,3.112e+9,3.112e+9,
325.16,2.160e+9,2.160e+9,
325.21,1.430e+9,1.430e+9,
325.26,9.028e+8,9.028e+8,
325.31,5.436e+8,5.436e+8,
325.36,3.122e+8,3.122e+8,
325.41,1.710e+8,1.710e+8,
325.46,8.930e+7,8.930e+7,
325.51,4.448e+7,4.448e+7,
325.56,2.113e+7,2.113e+7,
325.61,9.573e+6,9.573e+6,
325.66,4.136e+6,4.136e+6,
325.71,1.705e+6,1.705e+6,
325.76,6.699e+5,6.699e+5,
325.81,2.511e+5,2.511e+5,
325.86,8.974e+4,8.974e+4,
325.91,3.060e+4,3.060e+4,
325.96,9.967e+3,9.967e+3,
326.01,3.163e+3,3.163e+3,
326.06,1.194e+3,1.194e+3,
326.11,1.220e+3,1.220e+3,
326.16,3.203e+3,3.203e+3,
326.21,9.754e+3,9.754e+3,
326.26,2.887e+4,2.887e+4,
326.31,8.169e+4,8.169e+4,
326.36,2.206e+5,2.206e+5,
326.41,5.688e+5,5.688e+5,
326.46,1.399e+6,1.399e+6,
326.51,3.286e+6,3.286e+6,
326.56,7.364e+6,7.364e+6,
326.61,1.575e+7,1.575e+7,
326.66,3.216e+7,3.216e+7,
326.71,6.266e+7,6.266e+7,
326.76,1.165e+8,1.165e+8,
326.81,2.068e+8,2.068e+8,
326.86,3.504e+8,3.504e+8,
326.91,5.665e+8,5.665e+8,
326.96,8.742e+8,8.742e+8,
327.01,1.288e+9,1.288e+9,
327.06,1.810e+9,1.810e+9,4.488e-11
327.11,2.428e+9,2.428e+9,2.731e-10
327.16,3.109e+9,3.109e+9,1.586e-9
327.21,3.800e+9,3.800e+9,8.801e-9
327.26,4.432e+9,4.432e+9,4.662e-8
327.31,4.934e+9,4.934e+9,2.358e-7
327.36,5.242e+9,5.242e+9,1.139e-6
327.41,5.316e+9,5.316e+9,5.252e-6
327.46,5.146e+9,5.146e+9,2.313e-5
327.51,4.753e+9,4.753e+9,9.725e-5
327.56,4.191e+9,4.191e+9,3.905e-4
327.61,3.526e+9,3.526e+9,1.497e-3
327.66,2.832e+9,2.832e+9,5.480e-3
327.71,2.171e+9,2.171e+9,1.916e-2
327.76,1.588e+9,1.588e+9,6.394e-2
327.81,1.109e+9,1.109e+9,2.038e-1
327.86,7.390e+8,7.390e+8,6.203e-1
327.91,4.701e+8,4.701e+8,1.803e+0
327.96,2.854e+8,2.854e+8,5.002e+0
328.01,1.653e+8,1.653e+8,1.325e+1
328.06,9.143e+7,9.143e+7,3.353e+1
328.11,4.826e+7,4.826e+7,8.101e+1
328.16,2.431e+7,2.431e+7,1.869e+2
328.21,1.169e+7,1.169e+7,4.116e+2
328.26,5.363e+6,5.362e+6,8.658e+2
328.31,2.350e+6,2.348e+6,1.739e+3
328.36,9.850e+5,9.816e+5,3.335e+3
328.41,3.977e+5,3.916e+5,6.107e+3
328.46,1.598e+5,1.491e+5,1.068e+4
328.51,7.201e+4,5.419e+4,1.783e+4
328.56,4.722e+4,1.879e+4,2.842e+4
328.61,4.949e+4,6.221e+3,4.327e+4
328.66,6.486e+4,1.966e+3,6.290e+4
328.71,8.790e+4,5.927e+2,8.731e+4
328.76,1.159e+5,1.706e+2,1.157e+5
328.81,1.465e+5,4.686e+1,1.464e+5
328.86,1.770e+5,1.228e+1,1.770e+5
328.91,2.042e+5,3.074e+0,2.042e+5
328.96,2.250e+5,7.341e-1,2.250e+5
329.01,2.367e+5,1.673e-1,2.367e+5
329.06,2.378e+5,3.640e-2,2.378e+5
329.11,2.282e+5,7.557e-3,2.282e+5
329.16,2.091e+5,1.498e-3,2.091e+5
329.21,1.830e+5,2.832e-4,1.830e+5
329.26,1.531e+5,5.113e-5,1.531e+5
329.31,1.226e+5,8.809e-6,1.226e+5
329.36,9.453e+4,1.449e-6,9.453e+4
329.41,7.094e+4,,7.094e+4
