Wavelength (nm),Sum,Na I (1.2e-01),Na II (8.8e-01),Na III (7.9e-25)
395.53,1.651e-16,1.651e-16,,
395.58,7.270e-17,7.270e-17,,
395.63,3.100e-17,3.100e-17,,
395.68,1.280e-17,1.280e-17,,
395.73,5.119e-18,5.119e-18,,
395.78,1.982e-18,1.982e-18,,
395.83,7.432e-19,7.432e-19,,
395.88,2.698e-19,2.698e-19,,
395.93,9.487e-20,9.487e-20,,
395.98,3.230e-20,3.230e-20,,
396.03,1.065e-20,1.065e-20,,
396.08,3.400e-21,3.400e-21,,
396.13,1.051e-21,1.051e-21,,
396.18,3.146e-22,3.146e-22,,
396.23,9.121e-23,9.121e-23,,
396.28,2.560e-23,2.560e-23,,
396.33,6.959e-24,6.959e-24,,
396.38,1.832e-24,1.832e-24,,
396.43,4.669e-25,4.669e-25,,
396.48,1.152e-25,1.152e-25,,
396.53,2.755e-26,2.755e-26,,
396.58,6.375e-27,6.375e-27,,
396.63,1.429e-27,1.429e-27,,
408.88,9.368e-30,,9.368e-30,
408.93,4.020e-29,,4.020e-29,
408.98,1.675e-28,,1.675e-28,
409.03,6.776e-28,,6.776e-28,
409.08,2.661e-27,,2.661e-27,
409.13,1.015e-26,,1.015e-26,
409.18,3.757e-26,,3.757e-26,
409.23,1.350e-25,,1.350e-25,
409.28,4.712e-25,,4.712e-25,
409.33,1.597e-24,,1.597e-24,
409.38,5.252e-24,,5.252e-24,
409.43,1.677e-23,,1.677e-23,
409.48,5.201e-23,,5.201e-23,
409.53,1.566e-22,,1.566e-22,
409.58,4.576e-22,,4.576e-22,
409.63,1.299e-21,,1.299e-21,
409.68,3.578e-21,,3.578e-21,
409.73,9.570e-21,,9.570e-21,
409.78,2.485e-20,,2.485e-20,
409.83,6.266e-20,,6.266e-20,
409.88,1.534e-19,,1.534e-19,
409.93,3.646e-19,,3.646e-19,
409.98,8.412e-19,,8.412e-19,
410.03,1.885e-18,,1.885e-18,
410.08,4.099e-18,,4.099e-18,
410.13,8.657e-18,,8.657e-18,
410.18,1.775e-17,,1.775e-17,
410.23,3.533e-17,,3.533e-17,
410.28,6.828e-17,,6.828e-17,
410.33,1.281e-16,,1.281e-16,
410.38,2.334e-16,,2.334e-16,
410.43,4.128e-16,,4.128e-16,
410.48,7.089e-16,,7.089e-16,
410.53,1.182e-15,,1.182e-15,
410.58,1.913e-15,,1.913e-15,
410.63,3.006e-15,,3.006e-15,
410.68,4.587e-15,,4.587e-15,
410.73,6.795e-15,,6.795e-15,
410.78,9.773e-15,,9.773e-15,
410.83,1.365e-14,,1.365e-14,
410.88,1.850e-14,,1.850e-14,
410.93,2.435e-14,,2.435e-14,
410.98,3.112e-14,,3.112e-14,
411.03,3.862e-14,,3.862e-14,
411.08,4.652e-14,,4.652e-14,
411.13,5.441e-14,,5.441e-14,
411.18,6.180e-14,,6.180e-14,
411.23,6.815e-14,,6.815e-14,
411.28,7.299e-14,,7.299e-14,
411.33,7.593e-14,,7.593e-14,
411.38,7.675e-14,,7.675e-14,
411.43,7.543e-14,,7.543e-14,
411.48,7.215e-14,,7.215e-14,
411.53,6.728e-14,,6.728e-14,
411.58,6.135e-14,,6.135e-14,
411.63,5.497e-14,,5.497e-14,
411.68,4.876e-14,,4.876e-14,
411.73,4.330e-14,,4.330e-14,
411.78,3.906e-14,,3.906e-14,
411.83,3.636e-14,,3.636e-14,
411.88,3.534e-14,,3.534e-14,
411.93,3.597e-14,,3.597e-14,
411.98,3.803e-14,,3.803e-14,
412.03,4.119e-14,,4.119e-14,
412.08,4.497e-14,,4.497e-14,
412.13,4.887e-14,,4.887e-14,
412.18,5.236e-14,,5.236e-14,
412.23,5.498e-14,,5.498e-14,
412.28,5.636e-14,,5.636e-14,
412.33,5.628e-14,,5.628e-14,
412.38,5.467e-14,,5.467e-14,
412.43,5.163e-14,,5.163e-14,
412.48,4.737e-14,,4.737e-14,
412.53,4.221e-14,,4.221e-14,
412.58,3.654e-14,,3.654e-14,
412.63,3.071e-14,,3.071e-14,
412.68,2.507e-14,,2.507e-14,
412.73,1.987e-14,,1.987e-14,
412.78,1.529e-14,,1.529e-14,
412.83,1.143e-14,,1.143e-14,
412.88,8.295e-15,,8.295e-15,
412.93,5.845e-15,,5.845e-15,
412.98,4.000e-15,,4.000e-15,
413.03,2.657e-15,,2.657e-15,
413.08,1.714e-15,,1.714e-15,
413.13,1.074e-15,,1.074e-15,
413.18,6.534e-16,,6.534e-16,
413.23,3.859e-16,,3.859e-16,
413.28,2.214e-16,,2.214e-16,
413.33,1.233e-16,,1.233e-16,
413.38,6.667e-17,,6.667e-17,
413.43,3.501e-17,,3.501e-17,
413.48,1.785e-17,,1.785e-17,
413.53,8.838e-18,,8.838e-18,
413.58,4.249e-18,,4.249e-18,
413.63,1.984e-18,,1.984e-18,
413.68,8.992e-19,,8.992e-19,
413.73,3.958e-19,,3.958e-19,
413.78,1.692e-19,,1.692e-19,
413.83,7.021e-20,,7.021e-20,
413.88,2.829e-20,,2.829e-20,
413.93,1.107e-20,,1.107e-20,
413.98,4.207e-21,,4.207e-21,
414.03,1.552e-21,,1.552e-21,
414.08,5.561e-22,,5.561e-22,
414.13,1.935e-22,,1.935e-22,
414.18,6.535e-23,,6.535e-23,
414.23,2.143e-23,,2.143e-23,
414.28,6.827e-24,,6.827e-24,
414.33,2.111e-24,,2.111e-24,
414.38,6.340e-25,,6.340e-25,
414.43,1.849e-25,,1.849e-25,
414.48,5.235e-26,,5.235e-26,
414.53,1.439e-26,,1.439e-26,
414.58,3.842e-27,,3.842e-27,
414.63,9.961e-28,,9.961e-28,
414.68,2.507e-28,,2.507e-28,
414.73,6.129e-29,,6.129e-29,
414.78,1.455e-29,,1.455e-29,
415.18,4.052e-27,4.052e-27,,
415.23,1.665e-26,1.665e-26,,
415.28,6.647e-26,6.647e-26,,
415.33,2.579e-25,2.579e-25,,
415.38,9.722e-25,9.722e-25,,
415.43,3.561e-24,3.561e-24,,
415.48,1.268e-23,1.268e-23,,
415.53,4.386e-23,4.386e-23,,
415.58,1.474e-22,1.474e-22,,
415.63,4.816e-22,4.816e-22,,
415.68,1.529e-21,1.529e-21,,
415.73,4.716e-21,4.716e-21,,
415.78,1.413e-20,1.413e-20,,
415.83,4.117e-20,4.117e-20,,
415.88,1.165e-19,1.165e-19,,
415.93,3.205e-19,3.205e-19,,
415.98,8.567e-19,8.567e-19,,
416.03,2.225e-18,2.225e-18,,
416.08,5.616e-18,5.616e-18,,
416.13,1.377e-17,1.377e-17,,
416.18,3.282e-17,3.282e-17,,
416.23,7.602e-17,7.602e-17,,
416.28,1.711e-16,1.711e-16,,
416.33,3.741e-16,3.741e-16,,
416.38,7.950e-16,7.950e-16,,
416.43,1.642e-15,1.642e-15,,
416.48,3.295e-15,3.295e-15,,
416.53,6.424e-15,6.424e-15,,
416.58,1.217e-14,1.217e-14,,
