obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""651.1675""","=""0.0005""","=""651.16739""","=""0.00017""","=""""","=""1.01e+06""",C+,"=""26564.400""","=""41917.1924""","=""3d3.(4F).4p""","=""y 5G*""","=""3""","=""3d2.4s.(4F).4d""","=""e 5H""","=""4""",,"=""T6897""","=""L18003""",
"=""651.2531""","=""0.0005""","=""651.25319""","=""0.00017""","=""3""","=""8.20e+05""",C+,"=""26772.968""","=""42123.7378""","=""3d3.(4F).4p""","=""y 5G*""","=""5""","=""3d2.4s.(4F).4d""","=""e 5H""","=""6""",,"=""T6897""","=""L10989""",
"=""651.8243""","=""0.0005""","=""651.82447""","=""0.00013""","=""4""","=""""",,"=""28702.778""","=""44040.0941""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""4""",,"=""""","=""L10989""",
"=""651.9398""","=""0.0005""","=""651.93984""","=""0.00013""","=""2""","=""""",,"=""28788.380""","=""44122.9818""","=""3d3.(4F).4p""","=""y 5F*""","=""4""","=""3d3.(4F).4d""","=""5F""","=""5""",,"=""""","=""L10989""",
"=""652.1013""","=""0.0005""","=""652.10130""","=""0.00013""","=""5""","=""""",,"=""28638.841""","=""43969.6460""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""3""",,"=""""","=""L10989""",
"=""652.6578""","=""0.0005""","=""652.65785""","=""0.00017""","=""3""","=""""",,"=""28596.313""","=""43914.0450""","=""3d3.(4F).4p""","=""y 5F*""","=""1""","=""3d3.(4F).4d""","=""5F""","=""2""",,"=""""","=""L10989""",
"=""653.6422""","=""0.0005""","=""653.64205""","=""0.00021""","=""6""","=""2.10e+06""",C+,"=""26910.709""","=""42205.377""","=""3d3.(4F).4p""","=""y 5G*""","=""6""","=""3d2.4s.(4F).4d""","=""e 5H""","=""7""",,"=""T6897""","=""L10989""",
"=""654.3039""","=""0.0005""","=""654.30373""","=""0.00021""","=""9""","=""""",,"=""28596.313""","=""43875.514""","=""3d3.(4F).4p""","=""y 5F*""","=""1""","=""3d3.(4F).4d""","=""5F""","=""1""",,"=""""","=""L10989""",
"=""654.4749""","=""0.0005""","=""654.47494""","=""0.00013""","=""12""","=""""",,"=""28638.841""","=""43914.0450""","=""3d3.(4F).4p""","=""y 5F*""","=""2""","=""3d3.(4F).4d""","=""5F""","=""2""",,"=""""","=""L10989""",
"=""654.6266""","=""0.0005""","=""654.62686""","=""0.00017""","=""190""","=""""",,"=""11531.761""","=""26803.420""","=""3d3.(4F).4s""","=""b 3F""","=""2""","=""3d2.(1D).4s.4p.(3P*)""","=""x 3F*""","=""2""",,"=""""","=""L10989""",
"=""654.8324""","=""0.0005""","=""654.83230""","=""0.00013""","=""18""","=""""",,"=""28702.778""","=""43969.6460""","=""3d3.(4F).4p""","=""y 5F*""","=""3""","=""3d3.(4F).4d""","=""5F""","=""3""",,"=""""","=""L10989""",
