obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""779.517""","=""779.532""","=""0.004""","=""a*""","=""""",,"=""21534.680""","=""34359.36""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.13f""","=""2F*""","=""5/2""",,"=""""","=""L2996""",
"=""779.517""","=""779.532""","=""0.004""","=""a*""","=""""",,"=""21534.680""","=""34359.36""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.13f""","=""2F*""","=""7/2""",,"=""""","=""L2996""",
"=""779.656""","=""779.672""","=""0.004""","=""a""","=""""",,"=""21536.988""","=""34359.36""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.13f""","=""2F*""","=""5/2""",,"=""""","=""L2996""",
"=""786.447""","=""786.461""","=""0.003""","=""a*""","=""""",,"=""21534.680""","=""34246.37""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.12f""","=""2F*""","=""5/2""",,"=""""","=""L2996""",
"=""786.447""","=""786.461""","=""0.003""","=""a*""","=""""",,"=""21534.680""","=""34246.37""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.12f""","=""2F*""","=""7/2""",,"=""""","=""L2996""",
"=""""","=""786.5176""","=""0.0004""","=""""","=""1.3e+04""",C,"=""21026.551""","=""33737.3284""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T817""","=""""",
"=""""","=""786.5689""","=""0.0004""","=""""","=""1.3e+04""",C,"=""21026.551""","=""33736.4979""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.11p""","=""2P*""","=""1/2""",,"=""T817""","=""""",
"=""786.587""","=""786.604""","=""0.003""","=""a""","=""""",,"=""21536.988""","=""34246.37""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.12f""","=""2F*""","=""5/2""",,"=""""","=""L2996""",
"=""795.537""","=""795.536""","=""0.004""","=""5""","=""""",,"=""21534.680""","=""34101.36""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.11f""","=""2F*""","=""7/2""",,"=""""","=""L6096""",
"=""795.683""","=""795.682""","=""0.004""","=""4""","=""""",,"=""21536.988""","=""34101.36""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.11f""","=""2F*""","=""5/2""",,"=""""","=""L6096""",
"=""""","=""803.7580""","=""0.0004""","=""""","=""2.0e+04""",C,"=""21534.680""","=""33972.8148""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""803.9072""","=""0.0004""","=""""","=""2.3e+03""",E,"=""21536.988""","=""33972.8148""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.12p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""803.9465""","=""0.0004""","=""""","=""2.3e+04""",C,"=""21536.988""","=""33972.2064""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.12p""","=""2P*""","=""1/2""",,"=""T817LS""","=""""",
"=""""","=""807.2163""","=""0.0004""","=""""","=""1.601e+04""",B+,"=""21026.551""","=""33411.3986""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T9168""","=""""",
"=""""","=""807.2924""","=""0.0004""","=""""","=""1.456e+04""",A,"=""21026.551""","=""33410.2306""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.10p""","=""2P*""","=""1/2""",,"=""T9168""","=""""",
"=""807.811""","=""807.810""","=""0.004""","=""7""","=""""",,"=""21534.680""","=""33910.42""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.10f""","=""2F*""","=""7/2""",,"=""""","=""L6096""",
"=""807.962""","=""807.961""","=""0.004""","=""6""","=""""",,"=""21536.988""","=""33910.42""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.10f""","=""2F*""","=""5/2""",,"=""""","=""L6096""",
"=""""","=""819.2690""","=""0.0004""","=""""","=""2.8e+04""",C,"=""21534.680""","=""33737.3284""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""819.4240""","=""0.0004""","=""""","=""3.1e+03""",E,"=""21536.988""","=""33737.3284""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.11p""","=""2P*""","=""3/2""",,"=""T817LS""","=""""",
"=""""","=""819.4798""","=""0.0004""","=""""","=""3.1e+04""",C,"=""21536.988""","=""33736.4979""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.11p""","=""2P*""","=""1/2""",,"=""T817LS""","=""""",
"=""825.018""","=""825.016""","=""0.004""","=""9bl*""","=""9.6e+05""",B+,"=""21534.680""","=""33652.32""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.9f""","=""2F*""","=""7/2""",,"=""T817LS""","=""L6096""",
"=""825.018""","=""825.016""","=""0.004""","=""9bl*""","=""6.4e+04""",C+,"=""21534.680""","=""33652.32""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.9f""","=""2F*""","=""5/2""",,"=""T817LS""","=""L6096""",
"=""825.174""","=""825.174""","=""0.004""","=""8""","=""8.9e+05""",C+,"=""21536.988""","=""33652.32""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.9f""","=""2F*""","=""5/2""",,"=""T817LS""","=""L6096""",
"=""839.022""","=""839.0212""","=""0.0004""","=""3""","=""2.71e+04""",B+,"=""21026.551""","=""32941.9262""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""839.1426""","=""0.0004""","=""m""","=""2.47e+04""",B+,"=""21026.551""","=""32940.2030""","=""3p6.5s""","=""2S""","=""1/2""","=""3p6.9p""","=""2P*""","=""1/2""",,"=""T9168""","=""L6096""",
"=""841.754""","=""841.7521""","=""0.0004""","=""2""","=""4.81e+04""",A,"=""21534.680""","=""33411.3986""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""841.9157""","=""0.0004""","=""""","=""5.29e+03""",A,"=""21536.988""","=""33411.3986""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.10p""","=""2P*""","=""3/2""",,"=""T9168""","=""""",
"=""842.000""","=""841.9985""","=""0.0004""","=""1""","=""5.25e+04""",A,"=""21536.988""","=""33410.2306""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.10p""","=""2P*""","=""1/2""",,"=""T9168""","=""L6096""",
"=""850.345""","=""850.344""","=""0.004""","=""11bl*""","=""1.32e+06""",B+,"=""21534.680""","=""33291.40""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.8f""","=""2F*""","=""7/2""",,"=""T8262""","=""L6096""",
"=""850.345""","=""850.344""","=""0.004""","=""11bl*""","=""8.80e+04""",B+,"=""21534.680""","=""33291.40""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.8f""","=""2F*""","=""5/2""",,"=""T8262""","=""L6096""",
"=""850.511""","=""850.511""","=""0.004""","=""10""","=""1.23e+06""",B+,"=""21536.988""","=""33291.40""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.8f""","=""2F*""","=""5/2""",,"=""T8262""","=""L6096""",
"=""876.396""","=""876.3951""","=""0.0004""","=""4""","=""7.13e+04""",A,"=""21534.680""","=""32941.9262""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T9168""","=""L6096""",
"=""""","=""876.5724""","=""0.0004""","=""""","=""7.97e+03""",A+,"=""21536.988""","=""32941.9262""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.9p""","=""2P*""","=""3/2""",,"=""T9168""","=""""",
"=""876.705""","=""876.7049""","=""0.0004""","=""3""","=""7.81e+04""",A,"=""21536.988""","=""32940.2030""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.9p""","=""2P*""","=""1/2""",,"=""T9168""","=""L6096""",
"=""890.219""","=""890.218""","=""0.005""","=""13bl*""","=""2.052e+06""",AA,"=""21534.680""","=""32764.80""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.7f""","=""2F*""","=""7/2""",,"=""T9168""","=""L6096""",
"=""890.219""","=""890.218""","=""0.005""","=""13bl*""","=""1.369e+05""",AA,"=""21534.680""","=""32764.80""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.7f""","=""2F*""","=""5/2""",,"=""T9168""","=""L6096""",
"=""890.402""","=""890.401""","=""0.005""","=""12""","=""1.914e+06""",AA,"=""21536.988""","=""32764.80""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.7f""","=""2F*""","=""5/2""",,"=""T9168""","=""L6096""",
