obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""193.10481""","=""193.1050""","=""125""","=""1.04e+09""",A,"=""59852.02""","=""111637.33""","=""3s.3p""","=""1P*""","=""1""","=""3p2""","=""1S""","=""0""",,"=""c47,u24""","=""L3460""",
"=""193.23768""","=""193.2377""","=""150""","=""1.53e+08""",C+,"=""94084.96""","=""145834.70""","=""3p2""","=""3P""","=""0""","=""3p.4s""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L3460""",
"=""193.45032""","=""193.4503""","=""225""","=""3.44e+08""",B,"=""94268.68""","=""145961.54""","=""3p2""","=""3P""","=""2""","=""3p.4s""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""L3460""",
"=""193.47129""","=""193.4713""","=""125""","=""1.14e+08""",C+,"=""94147.46""","=""145834.70""","=""3p2""","=""3P""","=""1""","=""3p.4s""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L3460""",
"=""193.69066""","=""193.6908""","=""125""","=""4.56e+08""",C+,"=""94147.46""","=""145776.15""","=""3p2""","=""3P""","=""1""","=""3p.4s""","=""3P*""","=""0""",,"=""T6298c4,LS""","=""L3460""",
"=""193.92606""","=""193.9262""","=""150""","=""1.89e+08""",C+,"=""94268.68""","=""145834.70""","=""3p2""","=""3P""","=""2""","=""3p.4s""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L3460""",
"=""195.8247""","=""195.8246""","=""8""","=""""",,"=""94084.96""","=""145151.06""","=""3p2""","=""3P""","=""0""","=""3s.9p""","=""3P*""","=""1""",,"=""""","=""L4575""",
"=""195.877""","=""195.8761""","=""1""","=""5.7e+08""",D,"=""95549.42""","=""146602.10""","=""3s.3d""","=""3D""","=""3""","=""3s.10p""","=""3P*""","=""2""",,"=""T6533""","=""L7431""",
"=""""","=""195.8839""","=""""","=""6.8e+06""",D,"=""95551.44""","=""146602.10""","=""3s.3d""","=""3D""","=""1""","=""3s.10p""","=""3P*""","=""2""",,"=""T6533""","=""""",
"=""195.900""","=""195.9000""","=""0""","=""""",,"=""95550.51""","=""146596.95""","=""3s.3d""","=""3D""","=""2""","=""3s.10p""","=""3P*""","=""1""",,"=""""","=""L7431""",
"=""""","=""195.9036""","=""""","=""1.7e+08""",D,"=""95551.44""","=""146596.95""","=""3s.3d""","=""3D""","=""1""","=""3s.10p""","=""3P*""","=""1""",,"=""T6533""","=""""",
"=""""","=""195.9117""","=""""","=""6.8e+08""",D,"=""95551.44""","=""146594.85""","=""3s.3d""","=""3D""","=""1""","=""3s.10p""","=""3P*""","=""0""",,"=""T6533""","=""""",
"=""196.0322""","=""196.0322""","=""3""","=""""",,"=""94147.46""","=""145159.49""","=""3p2""","=""3P""","=""1""","=""3s.9p""","=""3P*""","=""2""",,"=""""","=""L4575""",
"=""196.0646""","=""196.0646""","=""3""","=""""",,"=""94147.46""","=""145151.06""","=""3p2""","=""3P""","=""1""","=""3s.9p""","=""3P*""","=""1""",,"=""""","=""L4575""",
"=""196.0846""","=""196.0847""","=""10""","=""""",,"=""94147.46""","=""145145.84""","=""3p2""","=""3P""","=""1""","=""3s.9p""","=""3P*""","=""0""",,"=""""","=""L4575""",
"=""196.25904""","=""196.2591""","=""70""","=""""",,"=""95549.42""","=""146502.47""","=""3s.3d""","=""3D""","=""3""","=""3s.9f""","=""3F*""","=""4""",,"=""""","=""L3460""",
"=""196.2645""","=""196.2648""","=""8""","=""""",,"=""95549.42""","=""146500.99""","=""3s.3d""","=""3D""","=""3""","=""3s.9f""","=""3F*""","=""3""",,"=""""","=""L4575""",
"=""196.26910""","=""196.2690""","=""60""","=""""",,"=""95550.51""","=""146500.99""","=""3s.3d""","=""3D""","=""2""","=""3s.9f""","=""3F*""","=""3""",,"=""""","=""L3460""",
"=""196.27349""","=""196.2735""","=""70""","=""""",,"=""95350.60""","=""146299.92""","=""3s.4s""","=""1S""","=""0""","=""3s.10p""","=""1P*""","=""1""",,"=""""","=""L3460""",
"=""196.2763""","=""196.2768""","=""50""","=""""",,"=""95551.44""","=""146499.90""","=""3s.3d""","=""3D""","=""1""","=""3s.9f""","=""3F*""","=""2""",,"=""""","=""L3460""",
"=""196.4990""","=""196.4991""","=""40""","=""""",,"=""94268.68""","=""145159.49""","=""3p2""","=""3P""","=""2""","=""3s.9p""","=""3P*""","=""2""",,"=""""","=""L4575""",
"=""196.5316""","=""196.5317""","=""10""","=""""",,"=""94268.68""","=""145151.06""","=""3p2""","=""3P""","=""2""","=""3s.9p""","=""3P*""","=""1""",,"=""""","=""L4575""",
"=""198.3650""","=""198.3650""","=""10""","=""4.06e+06""",C,"=""95549.42""","=""145961.54""","=""3s.3d""","=""3D""","=""3""","=""3p.4s""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""198.3693""","=""""","=""7.24e+05""",D,"=""95550.51""","=""145961.54""","=""3s.3d""","=""3D""","=""2""","=""3p.4s""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""""","=""198.3729""","=""""","=""4.82e+04""",E,"=""95551.44""","=""145961.54""","=""3s.3d""","=""3D""","=""1""","=""3p.4s""","=""3P*""","=""2""",,"=""T6298c4,LS""","=""""",
"=""198.8699""","=""198.8697""","=""3""","=""3.60e+06""",C,"=""95550.51""","=""145834.70""","=""3s.3d""","=""3D""","=""2""","=""3p.4s""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""L4575""",
"=""""","=""198.8733""","=""""","=""1.20e+06""",D,"=""95551.44""","=""145834.70""","=""3s.3d""","=""3D""","=""1""","=""3p.4s""","=""3P*""","=""1""",,"=""T6298c4,LS""","=""""",
"=""199.05310""","=""199.0533""","=""315""","=""1.38e+09""",A,"=""59852.02""","=""110089.83""","=""3s.3p""","=""1P*""","=""1""","=""3s.3d""","=""1D""","=""2""",,"=""c47,u24""","=""L3460""",
