obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""221.5654""","=""0.0021""","=""221.5660""","=""0.0005""","=""1000r""","=""""",,"=""13245.443""","=""58364.66""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""1/2""",,"=""""","=""L772""",
"=""222.5697""","=""0.0021""","=""222.5702""","=""0.0006""","=""2100r""","=""4.4e+07""",C+,"=""0.000""","=""44915.68""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""1/2""",,"=""T7574""","=""L772""",
"=""222.7775""","=""0.0021""","=""222.7773""","=""0.0004""","=""1600r""","=""""",,"=""13245.443""","=""58119.37""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""5/2""",,"=""""","=""L772""",
"=""223.0084""","=""0.0021""","=""223.0092""","=""0.0007""","=""2500r""","=""""",,"=""11202.618""","=""56029.89""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2F*""","=""7/2""",,"=""""","=""L772""",
"=""223.6278""","=""0.0021""","=""223.6286""","=""0.0009""","=""900r""","=""""",,"=""13245.443""","=""57948.568""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.7p""","=""2P*""","=""3/2""",,"=""""","=""L772""",
"=""223.8454""","=""0.0021""","=""223.8462""","=""0.0007""","=""1100r""","=""""",,"=""13245.443""","=""57905.117""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.5f""","=""2F*""","=""5/2""",,"=""""","=""L772""",
"=""224.4265""","=""0.0021""","=""224.4267""","=""0.0003""","=""2300r""","=""1.85e+06""",C+,"=""0.000""","=""44544.16""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""4D*""","=""3/2""",,"=""T7574""","=""L772""",
"=""224.7503""","=""0.0017""","=""224.7514""","=""0.0011""","=""2""","=""""",,"=""30783.697""","=""75263.50""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(1D).4d""","=""2P""","=""3/2""",,"=""""","=""L772""",
"=""225.5286""","=""0.0017""","=""225.533""","=""0.004""","=""0""","=""""",,"=""30783.697""","=""75109.47""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(1D).4d""","=""2P""","=""1/2""",,"=""""","=""L772""",
"=""226.0528""","=""0.0021""","=""226.0529""","=""0.0004""","=""1300r""","=""""",,"=""11202.618""","=""55426.3543""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.4f""","=""2F*""","=""7/2""",,"=""""","=""L772""",
"=""226.3084""","=""0.0004""","=""226.3085""","=""0.0003""","=""10a""","=""""",,"=""13245.443""","=""57419.24""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.7p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""229.3845""","=""0.0004""","=""229.3847""","=""0.0003""","=""50a""","=""""",,"=""11202.618""","=""54784.065""","=""3d9.4s2""","=""2D""","=""5/2""","=""3d10.6p""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""230.3117""","=""0.0004""","=""230.3122""","=""0.0005""","=""10a""","=""""",,"=""13245.443""","=""56651.41""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2D*""","=""5/2""",,"=""""","=""L4958""",
"=""231.9563""","=""0.0004""","=""231.9571""","=""0.0009""","=""6a""","=""""",,"=""13245.443""","=""56343.62""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d9.(2D).4s.4p.(1P*)""","=""2P*""","=""3/2""",,"=""""","=""L4958""",
"=""234.8352""","=""0.0017""","=""234.8376""","=""0.0022""","=""2""","=""""",,"=""30535.324""","=""73104.90""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4s.(3D).4d""","=""4D""","=""3/2""",,"=""""","=""L772""",
"=""236.3199""","=""0.0004""","=""236.31997""","=""0.00017""","=""15a""","=""7.e+04""",E,"=""0.000""","=""42302.58""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""T7574""","=""L4958""",
"=""239.2630""","=""0.0004""","=""239.26279""","=""0.00023""","=""15a""","=""""",,"=""13245.443""","=""55027.762""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.6p""","=""2P*""","=""1/2""",,"=""""","=""L4958""",
"=""240.4864""","=""0.0021""","=""240.4869""","=""0.0006""","=""2h""","=""""",,"=""30535.324""","=""72104.99""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4s.(3D).4d""","=""2D""","=""3/2""",,"=""""","=""L772""",
"=""240.6665""","=""0.0009""","=""240.66660""","=""0.00014""","=""1500""","=""""",,"=""13245.443""","=""54784.065""","=""3d9.4s2""","=""2D""","=""3/2""","=""3d10.6p""","=""2P*""","=""3/2""",,"=""""","=""L772""",
"=""241.5197""","=""0.0017""","=""241.5194""","=""0.0004""","=""5""","=""""",,"=""30535.324""","=""71927.28""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4s.(3D).4d""","=""4P""","=""3/2""",,"=""""","=""L772""",
"=""241.6605""","=""0.0017""","=""241.6605""","=""0.0006""","=""5""","=""""",,"=""30783.697""","=""72151.49""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(3D).4d""","=""2P""","=""1/2""",,"=""""","=""L772""",
"=""242.0606""","=""0.0021""","=""242.0601""","=""0.0018""","=""1h""","=""""",,"=""39018.69""","=""80318.2""","=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""3d9.4s.(3D).8s""","=""4D""","=""7/2""",,"=""""","=""L772""",
"=""244.1637""","=""0.0004""","=""244.1633""","=""0.0004""","=""45a""","=""2.01e+06""",B,"=""0.000""","=""40943.78""","=""3d10.4s""","=""2S""","=""1/2""","=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""1/2""",,"=""T7574""","=""L4958""",
"=""245.774""","=""0.006""","=""245.773""","=""0.004""","=""5h""","=""""",,"=""39018.69""","=""79694.4""","=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""3d9.4s.(3D).6d""","=""4D""","=""7/2""",,"=""""","=""L772""",
"=""245.888""","=""0.006""","=""245.887""","=""0.004""","=""5h""","=""""",,"=""39018.69""","=""79675.4""","=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""3d9.4s.(3D).6d""","=""4P""","=""5/2""",,"=""""","=""L772""",
"=""246.093""","=""0.006""","=""246.096""","=""0.005""","=""5h""","=""""",,"=""39018.69""","=""79640.9""","=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""5/2""","=""3d9.4s.(3D).6d""","=""4S""","=""3/2""",,"=""""","=""L772""",
"=""247.083""","=""0.006""","=""247.082""","=""0.006""","=""0h""","=""""",,"=""40114.01""","=""80574.1""","=""3d9.(2D).4s.4p.(3P*)""","=""4P*""","=""3/2""","=""3d9.4s.(3D).6d""","=""2F""","=""5/2""",,"=""""","=""L772""",
"=""247.4818""","=""0.0017""","=""247.4838""","=""0.0018""","=""5""","=""""",,"=""30783.697""","=""71178.18""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(3D).4d""","=""4P""","=""5/2""",,"=""""","=""L772""",
"=""247.9564""","=""0.0017""","=""247.953""","=""0.003""","=""1""","=""""",,"=""30535.324""","=""70853.37""","=""3d10.4p""","=""2P*""","=""1/2""","=""3d9.4s.(3D).4d""","=""2P""","=""3/2""",,"=""""","=""L772c156""",
"=""247.9754""","=""0.0009""","=""247.9748""","=""0.0006""","=""10""","=""""",,"=""30783.697""","=""71098.20""","=""3d10.4p""","=""2P*""","=""3/2""","=""3d9.4s.(3D).4d""","=""2D""","=""5/2""",,"=""""","=""L772""",
