obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""183.247""","=""0.0015""","=""183.2468""","=""0.0003""","=""1""","=""""",,"=""27571.25""","=""82142.46""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4F).4p""","=""y 5G*""","=""6""",,"=""""","=""L562""",
"=""183.330""","=""0.002""","=""183.32784""","=""0.00013""","=""2*""","=""""",,"=""31514.71""","=""86061.80""","=""3d6""","=""a 3F""","=""4""","=""3d5.(a 2F).4p""","=""y 1F*""","=""3""",,"=""""","=""L562""",
"=""183.330""","=""0.002""","=""183.33160""","=""0.00013""","=""2*""","=""""",,"=""27571.25""","=""82117.22""","=""3d5.(4G).4s""","=""a 5G""","=""5""","=""3d5.(4F).4p""","=""y 5G*""","=""5""",,"=""""","=""L562""",
"=""183.347""","=""0.0015""","=""183.34693""","=""0.00013""","=""1""","=""""",,"=""31761.21""","=""86302.62""","=""3d6""","=""a 3F""","=""2""","=""3d5.(4F).4p""","=""v 3D*""","=""3""",,"=""""","=""L562""",
"=""183.391""","=""0.0015""","=""183.39128""","=""0.00013""","=""15""","=""""",,"=""31662.04""","=""86190.26""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4F).4p""","=""v 3D*""","=""2""",,"=""""","=""L562""",
"=""183.437""","=""0.002""","=""183.43683""","=""0.00024""","=""15*""","=""""",,"=""47073.64""","=""101588.32""","=""3d5.(2F).4s""","=""a 1F""","=""3""","=""3d5.(b 2D).4p""","=""1F*""","=""3""",,"=""""","=""L562""",
"=""183.437""","=""0.002""","=""183.43700""","=""0.00017""","=""15*""","=""""",,"=""35004.79""","=""89519.42""","=""3d6""","=""b 3G""","=""3""","=""3d5.(b 2F).4p""","=""t 3F*""","=""2""",,"=""""","=""L562""",
"=""183.457""","=""0.0015""","=""183.4573""","=""0.0006""","=""30""","=""1.8e+08""",D,"=""55697.014""","=""110205.6""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.4s.4p""","=""u 5D*""","=""3""",,"=""c88""","=""L562""",
"=""183.591""","=""0.002""","=""183.59067""","=""0.00010""","=""100*""","=""""",,"=""33248.66""","=""87717.66""","=""3d5.(4G).4s""","=""a 3G""","=""4""","=""3d5.(a 2G).4p""","=""u 3F*""","=""3""",,"=""""","=""L562""",
"=""183.591""","=""0.002""","=""183.59383""","=""0.00017""","=""100*""","=""""",,"=""27583.59""","=""82051.65""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4F).4p""","=""x 5F*""","=""3""",,"=""""","=""L562""",
