obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""250.912104""","=""0.000016""","=""250.912032""","=""0.000012""","=""21000bl(Fe II)*""","=""3.9e+05""",D,"=""65556.271""","=""105398.876""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(3F2).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
"=""250.912104""","=""0.000016""","=""250.912102""","=""0.000012""","=""21000bl(Fe II)*""","=""1.9e+07""",D+,"=""26170.1810""","=""66012.775""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""250.91470""","=""0.00004""","=""250.914680""","=""0.000012""","=""8000""","=""4.4e+07""",D+,"=""45206.4704""","=""85048.655""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""250.9370""","=""0.0005""","=""250.936397""","=""0.000012""","=""270d?""","=""3.1e+06""",D,"=""43620.9842""","=""83459.721""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""","=""3d6.(5D).4d""","=""e 6F""","=""3/2""",,"=""T6892c83""","=""L18349c142""",
"=""250.94838""","=""0.00016""","=""250.948283""","=""0.000019""","=""2000""","=""4.0e+07""",D+,"=""54902.286""","=""94739.136""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d5.(4P).4s.4p.(3P*)""","=""4P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""250.9620""","=""0.0005""","=""250.961846""","=""0.000012""","=""400""","=""""",,"=""22409.8178""","=""62244.515""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""250.9646""","=""0.0010""","=""250.964796""","=""0.000011""","=""400""","=""1.2e+07""",D+,"=""64087.408""","=""103921.637""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(3H).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""250.9702""","=""0.0005""","=""250.970208""","=""0.000012""","=""160d""","=""1.4e+07""",D+,"=""64040.891""","=""103874.261""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(3H).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c142""",
"=""250.98633""","=""0.00002""","=""250.986308""","=""0.000012""","=""16000""","=""9.e+07""",D+,"=""39013.2160""","=""78844.031""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).5s""","=""e 6D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""250.9919""","=""0.0005""","=""250.992238""","=""0.000014""","=""340bl(Fe II)*""","=""1.1e+07""",D+,"=""54870.541""","=""94700.415""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(3F1).4p""","=""2D*""","=""5/2""",,"=""T6892c83""","=""L18349c142""",
"=""250.9919""","=""0.0005""","=""250.992276""","=""0.000012""","=""340bl(Fe II)*""","=""""",,"=""63272.981""","=""103102.849""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(3P2).4d""","=""4D""","=""7/2""",,"=""""","=""L18349c142""",
"=""251.01215""","=""0.00004""","=""251.012120""","=""0.000010""","=""7000""","=""2.6e+07""",D+,"=""45044.1916""","=""84870.911""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.02968""","=""0.00009""","=""251.029671""","=""0.000013""","=""1000bl(Fe I)""","=""6.1e+06""",D+,"=""64806.494""","=""104630.429""","=""3d6.(3P2).4p""","=""z 2P*""","=""1/2""","=""3d6.(5D).5d""","=""6F""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""251.03848""","=""0.00005""","=""251.038472""","=""0.000012""","=""2000""","=""4.6e+07""",C+,"=""63948.803""","=""103771.342""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3H).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.05646""","=""0.00005""","=""251.056441""","=""0.000010""","=""5000""","=""1.54e+07""",C,"=""44446.9051""","=""84266.594""","=""3d6.(5D).4p""","=""z 4D*""","=""7/2""","=""3d6.(5D).4d""","=""6P""","=""7/2""",,"=""T7186""","=""L18349c139""",
"=""251.1250""","=""0.0005""","=""251.123818""","=""0.000019""","=""100d?""","=""""",,"=""74498.093""","=""114307.099""","=""3d6.(3D).4p""","=""x 2D*""","=""3/2""","=""3d6.(5D).6d""","=""6F""","=""5/2""",,"=""""","=""L18349c142""",
"=""251.138061""","=""0.000018""","=""251.138032""","=""0.000012""","=""6000""","=""4.2e+07""",C+,"=""63876.325""","=""103683.078""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(5D).5d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.16252""","=""0.00015""","=""251.162540""","=""0.000011""","=""700""","=""1.2e+07""",D+,"=""63948.803""","=""103751.672""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3H).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.175999""","=""0.000012""","=""251.176016""","=""0.000012""","=""200000""","=""2.30e+08""",B,"=""21711.8963""","=""61512.630""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""",,"=""T7158""","=""L18349c139""",
"=""251.19261""","=""0.00005""","=""251.192456""","=""0.000015""","=""6000""","=""1.63e+08""",C+,"=""54902.286""","=""94700.415""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d6.(3F1).4p""","=""2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.20370""","=""0.00009""","=""251.203622""","=""0.000012""","=""800""","=""2.8e+06""",D,"=""64834.069""","=""104630.429""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(5D).5d""","=""6F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.23423""","=""0.00015""","=""251.234394""","=""0.000012""","=""600""","=""3.5e+06""",D+,"=""65363.607""","=""105155.093""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3F2).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.237315""","=""0.000016""","=""251.237405""","=""0.000010""","=""18000""","=""3.3e+07""",D+,"=""45079.9019""","=""84870.911""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
"=""251.252212""","=""0.000016""","=""251.252189""","=""0.000015""","=""21000""","=""1.26e+08""",C+,"=""36126.412""","=""75915.080""","=""3d6.(3D).4s""","=""b 2D""","=""3/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.2728""","=""0.0005""","=""251.272784""","=""0.000019""","=""800""","=""""",,"=""21307.999""","=""61093.406""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""",,"=""""","=""L18349c142""",
"=""251.28014""","=""0.00007""","=""251.280325""","=""0.000011""","=""900""","=""8.e+06""",D+,"=""64425.405""","=""104209.618""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(3H).4d""","=""2F""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""251.31507""","=""0.00002""","=""251.315055""","=""0.000010""","=""12000""","=""2.5e+07""",C+,"=""38458.9934""","=""78237.709""","=""3d6.(5D).4p""","=""z 6D*""","=""9/2""","=""3d6.(5D).5s""","=""e 6D""","=""7/2""",,"=""T7466""","=""L18349c139""",
"=""251.34019""","=""0.00011""","=""251.340189""","=""0.000012""","=""2400""","=""1.2e+06""",D,"=""25805.3270""","=""65580.065""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.34720""","=""0.00018""","=""251.346995""","=""0.000012""","=""400""","=""2.1e+06""",D,"=""64040.891""","=""103814.552""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(5D).5d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.4022""","=""0.0003""","=""251.401970""","=""0.000012""","=""1200""","=""9.e+05""",D,"=""45079.9019""","=""84844.866""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d6.(5D).4d""","=""e 6G""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.40822""","=""0.00011""","=""251.408211""","=""0.000011""","=""1000""","=""1.8e+07""",D+,"=""64425.405""","=""104189.382""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(3H).4d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.438297""","=""0.000012""","=""251.438291""","=""0.000011""","=""80000""","=""2.11e+08""",B+,"=""30764.4737""","=""70523.694""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.44071""","=""0.00004""","=""251.440759""","=""0.000012""","=""7000""","=""2.2e+07""",D+,"=""45289.8248""","=""85048.655""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""","=""3d6.(5D).4d""","=""f 4D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.49065""","=""0.00004""","=""251.490645""","=""0.000012""","=""7000""","=""8.e+06""",D+,"=""25805.3270""","=""65556.271""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.49332""","=""0.00003""","=""251.493310""","=""0.000011""","=""8000""","=""1.3e+07""",D+,"=""22939.3512""","=""62689.874""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.51190""","=""0.00002""","=""251.511900""","=""0.000019""","=""15000""","=""2.13e+08""",B+,"=""50142.811""","=""89890.396""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3F1).4p""","=""4G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.53834""","=""0.00013""","=""251.538159""","=""0.000011""","=""2000""","=""""",,"=""46967.4751""","=""86710.911""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).4d""","=""e 4F""","=""3/2""",,"=""""","=""L18349c139""",
"=""251.55182""","=""0.00017""","=""251.551982""","=""0.000012""","=""500""","=""9.e+06""",D+,"=""63876.325""","=""103617.577""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(3H).4d""","=""4H""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.55941""","=""0.00008""","=""251.559560""","=""0.000014""","=""400""","=""""",,"=""73637.285""","=""113377.340""","=""3d5.4s2""","=""4F""","=""3/2""","=""3d6.(5D<3>).5f""","=""2[2]*""","=""5/2""",,"=""""","=""L18349c139""",
"=""251.57530""","=""0.00007""","=""251.575311""","=""0.000011""","=""1300""","=""1.4e+07""",D+,"=""64286.354""","=""104023.921""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(5D).5d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.59055""","=""0.00002""","=""251.590571""","=""0.000012""","=""4000""","=""8.4e+07""",C+,"=""64834.069""","=""104569.226""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3P2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.59335""","=""0.00004""","=""251.593370""","=""0.000011""","=""6000""","=""2.9e+07""",D+,"=""39109.3161""","=""78844.031""","=""3d6.(5D).4p""","=""z 6D*""","=""1/2""","=""3d6.(5D).5s""","=""e 6D""","=""1/2""",,"=""T6892c83""","=""L18349c148""",
"=""251.6057""","=""0.0005""","=""251.604730""","=""0.000019""","=""240d,bl(Fe II)?*""","=""1.1e+06""",D,"=""50157.475""","=""89890.396""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d6.(3F1).4p""","=""4G*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""251.6057""","=""0.0005""","=""251.606788""","=""0.000011""","=""240d,bl(Fe II)?*""","=""""",,"=""63876.325""","=""103608.921""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(3G).5s""","=""e 2G""","=""9/2""",,"=""""","=""L18349c142""",
"=""""","=""""","=""251.611864""","=""0.000006""","=""""","=""3.9e+06""",D,"=""45206.4704""","=""84938.265""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d6.(5D).4d""","=""e 6G""","=""3/2""",,"=""T6892c83""","=""""",
"=""251.6405""","=""0.0005""","=""251.640421""","=""0.000019""","=""700""","=""""",,"=""21307.999""","=""61035.285""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""1/2""",,"=""""","=""L18349c142""",
"=""251.65412""","=""0.00006""","=""251.65414""","=""0.00004""","=""1500""","=""""",,"=""58666.199""","=""98391.320""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d5.(4D).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""""","=""L18349c139""",
"=""251.6956""","=""0.0005""","=""251.696266""","=""0.000012""","=""150d,bl(Fe I)?""","=""""",,"=""65109.691""","=""104828.163""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""","=""3d6.(5D).5d""","=""6D""","=""5/2""",,"=""""","=""L18349c142""",
"=""251.713092""","=""0.000012""","=""251.713289""","=""0.000014""","=""50000""","=""9.e+07""",D+,"=""22409.8178""","=""62125.604""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""",,"=""T6892c83""","=""L18349c145""",
"=""251.72203""","=""0.00005""","=""251.721720""","=""0.000011""","=""6000bl(Fe II)*""","=""""",,"=""64286.354""","=""104000.810""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(5D).5d""","=""6P""","=""7/2""",,"=""""","=""L18349c148""",
"=""251.72203""","=""0.00005""","=""251.722025""","=""0.000011""","=""6000bl(Fe II)*""","=""5.8e+06""",D+,"=""25981.6451""","=""65696.053""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""251.73332""","=""0.00015""","=""251.733447""","=""0.000012""","=""1600""","=""2.0e+06""",D,"=""39013.2160""","=""78725.822""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).5s""","=""e 6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.7587""","=""0.0005""","=""251.759352""","=""0.000011""","=""350d,bl""","=""""",,"=""62322.445""","=""102030.965""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(5D).6s""","=""6D""","=""7/2""",,"=""""","=""L18349c143""",
"=""251.7748""","=""0.0005""","=""251.773810""","=""0.000011""","=""170d?""","=""""",,"=""63559.498""","=""103265.738""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""","=""3d6.(5D).6s""","=""4D""","=""1/2""",,"=""""","=""L18349c142""",
"=""251.79705""","=""0.00006""","=""251.797059""","=""0.000019""","=""4000""","=""4.2e+07""",D+,"=""50187.822""","=""89890.396""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d6.(3F1).4p""","=""4G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.85346""","=""0.00002""","=""251.853444""","=""0.000013""","=""2100""","=""5.4e+07""",C+,"=""70314.624""","=""110008.310""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""","=""3d6.(3G).4d""","=""2H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.90043""","=""0.00020""","=""251.900548""","=""0.000012""","=""400""","=""6.3e+06""",D+,"=""66522.310""","=""106208.574""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""2F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.904690""","=""0.000012""","=""251.904689""","=""0.000011""","=""100000""","=""2.10e+08""",C+,"=""27314.9183""","=""67000.530""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.90731""","=""0.00007""","=""251.906985""","=""0.000012""","=""7000""","=""4.3e+06""",D+,"=""22637.1950""","=""62322.445""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c145""",
"=""251.94077""","=""0.00004""","=""251.940798""","=""0.000014""","=""7000""","=""1.3e+07""",D+,"=""26932.7348""","=""66612.659""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.96033""","=""0.00004""","=""251.960309""","=""0.000019""","=""7000""","=""2.2e+07""",D+,"=""33466.4943""","=""73143.346""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(1G2).4p""","=""w 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""251.98485""","=""0.00008""","=""251.984842""","=""0.000013""","=""1200""","=""2.2e+07""",D+,"=""64834.069""","=""104507.058""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3H).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.02624""","=""0.00003""","=""252.026243""","=""0.000011""","=""11000""","=""2.6e+07""",D+,"=""38858.9696""","=""78525.442""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).5s""","=""e 6D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.03982""","=""0.00016""","=""252.039799""","=""0.000012""","=""600""","=""5.0e+06""",D+,"=""65556.271""","=""105220.610""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(3H).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.05375""","=""0.00011""","=""252.053717""","=""0.000019""","=""2000""","=""4.9e+06""",D+,"=""36252.931""","=""75915.080""","=""3d6.(3D).4s""","=""b 2D""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.06733""","=""0.00003""","=""252.067325""","=""0.000012""","=""9000""","=""7.4e+06""",D+,"=""26352.7671""","=""66012.775""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.0766""","=""0.0003""","=""252.076331""","=""0.000011""","=""1600""","=""1.7e+06""",D,"=""23031.2829""","=""62689.874""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.109143""","=""0.000012""","=""252.109144""","=""0.000012""","=""70000""","=""2.05e+08""",C+,"=""27620.4033""","=""67273.833""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.12163""","=""0.00002""","=""252.121656""","=""0.000019""","=""11000""","=""2.21e+08""",C+,"=""50075.921""","=""89727.383""","=""3d6.(3F1).4s""","=""c 4F""","=""3/2""","=""3d6.(3F1).4p""","=""4G*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.13318""","=""0.00011""","=""252.133147""","=""0.000011""","=""700""","=""8.e+06""",D+,"=""64831.951""","=""104481.606""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""","=""3d6.(3H).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.14864""","=""0.00005""","=""252.14858""","=""0.00003""","=""4000""","=""2.67e+08""",B+,"=""58631.623""","=""98278.852""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(1G1).4p""","=""2H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.181511""","=""0.000012""","=""252.181518""","=""0.000014""","=""50000""","=""2.36e+08""",B+,"=""33501.2957""","=""73143.346""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(1G2).4p""","=""w 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.21971""","=""0.00003""","=""252.219870""","=""0.000012""","=""11000""","=""4.2e+06""",D+,"=""21251.5833""","=""60887.606""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""",,"=""T6892c83""","=""L18349c145""",
"=""252.24337""","=""0.00014""","=""252.243462""","=""0.000011""","=""2000""","=""3.6e+06""",D+,"=""46967.4751""","=""86599.791""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).4d""","=""e 4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.2467""","=""0.0005""","=""252.245747""","=""0.000014""","=""700""","=""""",,"=""67000.530""","=""106632.487""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""","=""3d5.4s.(7S).4d""","=""6D""","=""3/2""",,"=""""","=""L18349c143""",
"=""252.289161""","=""0.000012""","=""252.289172""","=""0.000012""","=""60000""","=""2.13e+08""",B+,"=""33466.4943""","=""73091.630""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(1G2).4p""","=""w 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.344146""","=""0.000017""","=""252.344133""","=""0.000012""","=""19000""","=""5.9e+07""",D+,"=""39109.3161""","=""78725.822""","=""3d6.(5D).4p""","=""z 6D*""","=""1/2""","=""3d6.(5D).5s""","=""e 6D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.41529""","=""0.00016""","=""252.415261""","=""0.000012""","=""1600""","=""2.2e+06""",D,"=""45079.9019""","=""84685.245""","=""3d6.(5D).4p""","=""z 4F*""","=""5/2""","=""3d6.(5D).4d""","=""f 4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.4563""","=""0.0005""","=""252.456832""","=""0.000012""","=""300bl(Fe I)""","=""""",,"=""65556.271""","=""105155.093""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(3F2).4d""","=""4G""","=""9/2""",,"=""""","=""L18349c143""",
"=""252.47539""","=""0.00003""","=""252.475367""","=""0.000014""","=""2400""","=""5.2e+07""",D+,"=""66612.659""","=""106208.574""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""","=""3d6.(3F2).4d""","=""2F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.4818""","=""0.0005""","=""252.481451""","=""0.000012""","=""150d?""","=""1.0e+06""",D,"=""65696.053""","=""105291.014""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3F2).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""252.4950""","=""0.0005""","=""252.493970""","=""0.000012""","=""170d,bl(Fe II)*""","=""""",,"=""61156.827""","=""100749.825""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3F2).5s""","=""e 2F""","=""5/2""",,"=""""","=""L18349c143""",
"=""252.4950""","=""0.0005""","=""252.494359""","=""0.000012""","=""170d,bl(Fe II)*""","=""""",,"=""67273.833""","=""106866.770""","=""3d6.(3F2).4p""","=""y 2D*""","=""3/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c143""",
"=""252.51099""","=""0.00002""","=""252.510959""","=""0.000015""","=""15000""","=""4.7e+07""",C+,"=""33501.2957""","=""73091.630""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(1G2).4p""","=""w 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.53281""","=""0.00003""","=""252.532873""","=""0.000012""","=""1400""","=""5.3e+07""",C+,"=""70314.624""","=""109901.523""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""","=""3d6.(3G).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.538758""","=""0.000012""","=""252.538757""","=""0.000011""","=""240000""","=""1.91e+08""",B+,"=""21251.5833""","=""60837.560""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.54782""","=""0.00005""","=""252.547719""","=""0.000019""","=""4000""","=""3.8e+07""",D+,"=""50142.811""","=""89727.383""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3F1).4p""","=""4G*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.56322""","=""0.00005""","=""252.563046""","=""0.000011""","=""1500""","=""2.3e+07""",D+,"=""66463.542""","=""106045.712""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""","=""3d6.(3H).4d""","=""2H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.56993""","=""0.00014""","=""252.569962""","=""0.000011""","=""1900""","=""3.4e+06""",D+,"=""45289.8248""","=""84870.911""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""","=""3d6.(5D).4d""","=""f 4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""252.58616""","=""0.00002""","=""252.585887""","=""0.000012""","=""13000bl(Fe II)*""","=""6.4e+06""",D+,"=""26352.7671""","=""65931.358""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""252.58616""","=""0.00002""","=""252.586365""","=""0.000019""","=""13000bl(Fe II)*""","=""6.0e+07""",D+,"=""38164.220""","=""77742.736""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d6.(1D2).4p""","=""v 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""252.591870""","=""0.000013""","=""252.591858""","=""0.000011""","=""36000""","=""7.4e+07""",C+,"=""38660.0537""","=""78237.709""","=""3d6.(5D).4p""","=""z 6D*""","=""7/2""","=""3d6.(5D).5s""","=""e 6D""","=""7/2""",,"=""T7466""","=""L18349c139""",
"=""252.59685""","=""0.00009""","=""252.596686""","=""0.000012""","=""500""","=""""",,"=""66012.775""","=""105589.674""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""","=""3d6.(3F2).4d""","=""4H""","=""7/2""",,"=""""","=""L18349c139""",
