obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""220.11769""","=""0.00005""","=""220.117697""","=""0.000012""","=""800""","=""1.7e+07""",D+,"=""62689.874""","=""108105.938""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""","=""3d6.(3F2).4d""","=""2P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.1252""","=""0.0005""","=""220.125741""","=""0.000012""","=""1600""","=""""",,"=""20516.9534""","=""65931.358""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18349c142""",
"=""220.14126""","=""0.00002""","=""220.141248""","=""0.000010""","=""14000""","=""5.1e+07""",D+,"=""39013.2160""","=""84424.422""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).4d""","=""6P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.158616""","=""0.000012""","=""220.158613""","=""0.000010""","=""34000""","=""7.77e+07""",C+,"=""38858.9696""","=""84266.594""","=""3d6.(5D).4p""","=""z 6D*""","=""5/2""","=""3d6.(5D).4d""","=""6P""","=""7/2""",,"=""T7186""","=""L18349c139""",
"=""220.21628""","=""0.00007""","=""220.216058""","=""0.000012""","=""2300""","=""1.2e+06""",D,"=""27620.4033""","=""73016.184""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(1G2).4p""","=""x 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""220.2369""","=""0.0005""","=""220.23761""","=""0.00003""","=""250d?""","=""""",,"=""58631.623""","=""104022.961""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c142""",
"=""220.3418""","=""0.0005""","=""220.34110""","=""0.00007""","=""400""","=""""",,"=""54283.236""","=""99653.257""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(1G1).4p""","=""2G*""","=""9/2""",,"=""""","=""L18349c143""",
"=""220.34372""","=""0.00007""","=""220.343784""","=""0.000012""","=""500""","=""7.0e+06""",D+,"=""63272.981""","=""108642.450""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(3G).4d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.34914""","=""0.00018""","=""220.349093""","=""0.000012""","=""120""","=""""",,"=""69102.427""","=""114470.803""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d6.(5D).6d""","=""114470""","=""5/2""",,"=""""","=""L18349c139""",
"=""220.3529""","=""0.0005""","=""220.352727""","=""0.000020""","=""240d?""","=""""",,"=""63559.498""","=""108927.126""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""","=""3d6.(3G).4d""","=""4D""","=""1/2""",,"=""""","=""L18349c143""",
"=""220.36118""","=""0.00003""","=""220.361184""","=""0.000015""","=""1100""","=""1.0e+07""",D+,"=""64286.354""","=""109652.241""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3D).5s""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.4074""","=""0.0005""","=""220.40778""","=""0.00015""","=""600bl(Fe I)""","=""""",,"=""48039.109""","=""93395.407""","=""3d7""","=""d 2D1""","=""5/2""","=""3d6.(3F1).4p""","=""u 4F*""","=""5/2""",,"=""""","=""L18349c143""",
"=""220.4094""","=""0.0005""","=""220.410163""","=""0.000011""","=""1200""","=""""",,"=""20340.2461""","=""65696.053""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""220.49244""","=""0.00011""","=""220.492547""","=""0.000011""","=""400""","=""1.9e+06""",D,"=""64286.354""","=""109625.216""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""","=""3d6.(3G).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.4947""","=""0.0005""","=""220.49581""","=""0.00003""","=""250d?""","=""""",,"=""58631.623""","=""103969.814""","=""3d6.(1G1).4s""","=""d 2G""","=""9/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""""","=""L18349c142""",
"=""220.50151""","=""0.00009""","=""220.501625""","=""0.000012""","=""4000""","=""1.6e+06""",D,"=""27314.9183""","=""72651.914""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.5483""","=""0.0005""","=""220.548199""","=""0.000011""","=""400d?""","=""""",,"=""42658.2444""","=""87985.667""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""","=""3d6.(5D).4d""","=""4P""","=""5/2""",,"=""""","=""L18349c142""",
"=""220.608158""","=""0.000012""","=""220.608151""","=""0.000011""","=""34000""","=""2.07e+08""",C+,"=""39109.3161""","=""84424.422""","=""3d6.(5D).4p""","=""z 6D*""","=""1/2""","=""3d6.(5D).4d""","=""6P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.614762""","=""0.000011""","=""220.614748""","=""0.000010""","=""50000""","=""1.84e+08""",C+,"=""39013.2160""","=""84326.967""","=""3d6.(5D).4p""","=""z 6D*""","=""3/2""","=""3d6.(5D).4d""","=""6P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.6221""","=""0.0005""","=""220.622405""","=""0.000012""","=""900d?""","=""""",,"=""15844.6485""","=""61156.827""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""",,"=""""","=""L18349c142""",
"=""220.65901""","=""0.00005""","=""220.659022""","=""0.000015""","=""5000""","=""6.e+06""",D,"=""21307.999""","=""66612.659""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.72341""","=""0.00010""","=""220.723543""","=""0.000012""","=""290bl(Ne)""","=""""",,"=""69102.427""","=""114393.845""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d6.(5D).6d""","=""114393""","=""3/2""",,"=""""","=""L18349c148""",
"=""220.78327""","=""0.00015""","=""220.783167""","=""0.000015""","=""400""","=""5.e+06""",D,"=""62151.554""","=""107430.742""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""2D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""220.840556""","=""0.000011""","=""220.840556""","=""0.000010""","=""80000""","=""1.59e+08""",C+,"=""38458.9934""","=""83726.416""","=""3d6.(5D).4p""","=""z 6D*""","=""9/2""","=""3d6.(5D).4d""","=""6D""","=""9/2""",,"=""T7186""","=""L18349c139""",
"=""220.85421""","=""0.00019""","=""220.854124""","=""0.000012""","=""330""","=""1.9e+06""",D,"=""63272.981""","=""108537.623""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""","=""3d6.(3G).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
