"=""206.552""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""207.27641""","=""""","=""4.59e+05""",E,"=""6298.850""","=""54528.220""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",,"=""T5071""","=""""",
"=""""","=""208.20208""","=""""","=""6.45e+06""",D,"=""6298.850""","=""54313.818""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",,"=""T5071""","=""""",
"=""""","=""208.44625""","=""""","=""2.73e+06""",D+,"=""6298.850""","=""54257.582""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",,"=""T8363c22,T5071""","=""""",
"=""""","=""208.67467""","=""""","=""3.26e+04""",E,"=""6298.850""","=""54205.090""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",,"=""T8363c22,T5071""","=""""",
"=""""","=""208.76108""","=""""","=""5.46e+05""",E,"=""6298.850""","=""54185.264""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",,"=""T8363c22,T5071""","=""""",
"=""210.321""","=""""","=""30w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""211.463""","=""""","=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""212.29904""","=""""","=""3.57e+07""",B,"=""6298.850""","=""53387.334""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1P*""","=""1""",,"=""T5814""","=""""",
"=""212.412""","=""212.4122""","=""100""","=""2.97e+08""",B,"=""6298.850""","=""53362.24""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",,"=""T5814""","=""L3521""",
"=""214.791""","=""""","=""50w""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""""","=""220.71277""","=""""","=""4.68e-03""",D,"=""0.000""","=""45293.629""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""2""",M2,"=""c22""","=""""",
"=""220.798""","=""220.79780""","=""110""","=""2.62e+07""",B,"=""0.000""","=""45276.188""","=""3s2.3p2""","=""3P""","=""0""","=""3s.3p3""","=""3D*""","=""1""",,"=""T5814""","=""L3521""",
"=""""","=""220.95132""","=""""","=""4.58e-03""",D,"=""77.115""","=""45321.848""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""3""",M2,"=""c22""","=""""",
"=""221.089""","=""221.08922""","=""115""","=""3.46e+07""",B,"=""77.115""","=""45293.629""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""2""",,"=""T5814""","=""L3521""",
"=""221.174""","=""221.17454""","=""110""","=""1.81e+07""",B,"=""77.115""","=""45276.188""","=""3s2.3p2""","=""3P""","=""1""","=""3s.3p3""","=""3D*""","=""1""",,"=""T5814""","=""L3521""",
"=""221.667""","=""221.66689""","=""120""","=""4.54e+07""",B,"=""223.157""","=""45321.848""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""3""",,"=""T5814""","=""L3521""",
"=""221.806""","=""221.80569""","=""120""","=""1.09e+07""",B,"=""223.157""","=""45293.629""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""2""",,"=""T5814""","=""L3521""",
"=""221.891""","=""221.89157""","=""50""","=""1.05e+06""",C+,"=""223.157""","=""45276.188""","=""3s2.3p2""","=""3P""","=""2""","=""3s.3p3""","=""3D*""","=""1""",,"=""T5814""","=""L3521""",
"=""""","=""227.82803""","=""""","=""3.56e+06""",D,"=""15394.370""","=""59273.575""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.(2P*<1/2>).6s<1/2>""","=""(1/2,1/2)*""","=""1""",,"=""T5071""","=""""",
"=""""","=""228.25724""","=""""","=""1.99e+01""",D+,"=""15394.370""","=""59191.072""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",E2,"=""T5785""","=""""",
"=""""","=""228.67593""","=""""","=""1.83e+01""",D+,"=""15394.370""","=""59110.892""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",E2,"=""T5785""","=""""",
"=""229.103""","=""""","=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L3521""",
"=""230.306""","=""230.30585""","=""55""","=""3.48e+08""",C+,"=""15394.370""","=""58801.529""","=""3s2.3p2""","=""1S""","=""0""","=""3s2.3p.4d""","=""1P*""","=""1""",,"=""T5071""","=""L3521""",
"=""243.515""","=""243.51545""","=""300""","=""4.43e+07""",B,"=""6298.850""","=""47351.554""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.3d""","=""1D*""","=""2""",,"=""T5814""","=""L3521""",
"=""243.877""","=""243.87678""","=""65""","=""7.91e+05""",D,"=""0.000""","=""40991.884""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.4s""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
"=""244.336""","=""244.33647""","=""65""","=""6.28e+05""",C+,"=""77.115""","=""40991.884""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.4s""","=""1P*""","=""1""",,"=""T5814""","=""L3521""",
