element,ionization_stage,observed_wavelength_nm,ritz_wavelength_nm,relative_intensity,Aki,lower_energy,upper_energy
Na,II,257.1103,257.11,30.0,,331665.59,370547.8
Na,II,257.391,257.39,35.0,,331707.9,370547.8
Na,II,257.5703,,15.0,,,
Na,II,257.7645,,15.0,,,
Na,II,258.6308,258.6307,550.0,58000000.0,293220.33,331873.93
Na,II,258.9269,258.9271,60.0,,330549.35,369158.71
Na,II,259.3269,259.326,40.0,,330636.75,369186.73
Na,II,259.4958,259.4959,600.0,37100000.0,293220.33,331745.06
Na,II,260.0325,260.0324,45.0,490000.0,293220.33,331665.59
Na,II,260.2974,,25.0,,,
Na,II,260.3563,260.3562,130.0,,330789.05,369186.5
Na,II,260.5388,260.5397,45.0,,330789.05,369159.46
Na,II,260.7393,,80.0,,,
Na,II,260.8856,,30.0,,,
Na,II,261.1812,261.1811,850.0,220000000.0,293220.33,331496.51
Na,II,261.3486,,60.0,,,
Na,II,261.6833,,25.0,,,
Na,II,262.5515,262.55,60.0,,331123.04,369199.6
Na,II,262.6368,262.6408,40.0,,331123.04,369186.5
Na,II,262.7414,262.7414,300.0,,331123.04,369171.93
Na,II,262.9909,262.99,60.0,,331186.7,369199.6
Na,II,263.0766,263.0792,,,331186.7,369186.73
Na,II,263.0766,263.0808,,,331186.7,369186.5
Na,II,263.1812,263.1812,300.0,,331186.7,369172.01
Na,II,263.6127,,35.0,,,
Na,II,263.7505,,90.0,,,
Na,II,264.7785,,30.0,,,
Na,II,264.8532,264.853,160.0,,332802.21,370547.8
Na,II,265.0534,,35.0,,,
Na,II,265.1313,265.132,200.0,,332841.93,370547.8
Na,II,265.243,265.2435,80.0,,331496.51,369186.5
Na,II,265.4331,265.4339,50.0,,331496.51,369159.46
Na,II,265.9029,,60.0,,,
Na,II,265.981,265.981,200.0,,332962.57,
Na,II,266.0997,266.0997,850.0,165000000.0,293220.33,330789.05
Na,II,266.2394,,70.0,,,
Na,II,266.346,266.346,200.0,,331665.59,369199.6
Na,II,266.4358,266.4372,,,331665.59,369186.73
Na,II,266.4358,266.4388,,,331665.59,369186.5
Na,II,266.6458,266.646,350.0,,331707.9,369199.6
Na,II,266.7395,266.7396,90.0,,331707.9,369186.5
Na,II,266.9372,266.9322,60.0,,331707.9,369159.46
Na,II,267.0027,267.0027,100.0,,331745.06,369186.73
Na,II,267.0406,,130.0,,,
Na,II,267.1826,267.1829,1000.0,264000000.0,293220.33,330636.75
Na,II,267.2027,267.2027,60.0,,331745.06,369158.71
Na,II,267.4035,267.4035,200.0,,333162.94,
Na,II,267.5266,,50.0,,,
Na,II,267.5941,,60.0,,,
Na,II,267.8085,267.8085,850.0,301000000.0,293220.33,330549.35
Na,II,267.9252,267.9249,150.0,,331873.93,369186.73
Na,II,268.2194,,45.0,,,
Na,II,268.3622,,25.0,,,
Na,II,268.5083,,20.0,,,
Na,II,269.3712,,15.0,,,
Na,II,269.8048,,15.0,,,
Na,II,271.008,,25.0,,,
Na,II,271.473,,70.0,,,
Na,II,272.05,,25.0,,,
Na,II,272.393,,45.0,,,
Na,II,273.182,,25.0,,,
Na,II,273.874,,15.0,,,
Na,II,274.127,,25.0,,,
Na,II,274.677,,130.0,,,
Na,II,274.898,,25.0,,,
Na,II,274.9649,274.964,,,332841.93,369199.6
Na,II,274.9649,274.967,,,332802.21,369159.46
Na,II,275.051,,60.0,,,
Na,II,275.9797,275.9791,35.0,,332962.57,369186.5
Na,II,276.1861,276.1852,25.0,,332962.57,369159.46
Na,II,276.278,,25.0,,,
Na,II,276.761,,35.0,,,
Na,II,277.5113,277.5124,20.0,,333162.94,369186.73
Na,II,278.17,,15.0,,,
Na,II,278.578,,15.0,,,
Na,II,278.611,,15.0,,,
Na,II,278.849,,70.0,,,
Na,II,278.935,,20.0,,,
Na,II,279.286,,15.0,,,
Na,II,279.9211,279.9217,80.0,2640000.0,297248.82,332962.57
Na,II,280.694,,60.0,,,
Na,II,280.775,,90.0,,,
Na,II,280.8706,280.8705,650.0,15000000.0,297248.82,332841.93
Na,II,280.952,280.952,850.0,59500000.0,264924.32,300507.11
Na,II,281.064,,130.0,,,
Na,II,281.143,,80.0,,,
Na,II,281.184,281.1843,160.0,1010000.0,297248.82,332802.21
Na,II,281.39,281.3906,250.0,6900000.0,297635.61,333162.94
Na,II,281.721,,50.0,,,
Na,II,281.8288,281.8285,350.0,12000000.0,297635.61,333107.74
Na,II,282.071,,25.0,,,
Na,II,282.149,,25.0,,,
Na,II,282.441,,25.0,,,
Na,II,282.835,,35.0,,,
Na,II,282.9868,282.9867,600.0,33600000.0,297635.61,332962.57
Na,II,283.192,,35.0,,,
Na,II,283.226,,35.0,,,
Na,II,283.361,,45.0,,,
Na,II,283.607,,80.0,,,
Na,II,283.9564,283.9564,800.0,51000000.0,297635.61,332841.93
Na,II,284.1724,284.1721,1000.0,89200000.0,264924.32,300103.92
Na,II,284.2762,284.2772,30.0,523000.0,297635.61,332802.21
Na,II,284.863,,60.0,,,
Na,II,284.911,,40.0,,,
Na,II,285.002,,35.0,,,
Na,II,285.072,,35.0,,,
Na,II,285.116,,40.0,,,
Na,II,285.6508,285.6508,650.0,62000000.0,298165.44,333162.94
Na,II,285.9488,285.9486,800.0,21900000.0,264924.32,299885.37
Na,II,286.1019,286.1021,350.0,8000000.0,298165.44,333107.74
Na,II,286.296,,40.0,,,
Na,II,286.366,,60.0,,,
Na,II,286.796,,50.0,,,
Na,II,286.831,,60.0,,,
Na,II,286.93,,50.0,,,
Na,II,287.1275,287.1277,750.0,27500000.0,265689.62,300507.11
Na,II,287.2954,287.2957,650.0,26300000.0,298165.44,332962.57
Na,II,287.573,,50.0,,,
Na,II,287.738,,70.0,,,
Na,II,287.9041,,130.0,,,
